tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
TOUR Championship,,,1.0,-6.0,-5.0,-5.0,-4.0,,,2024,TOUR Championship,,
TOUR Championship,,,2.0,-5.0,-8.0,-4.0,-5.0,,,2024,TOUR Championship,,
TOUR Championship,,,3.0,-4.0,-5.0,-5.0,-7.0,,,2024,TOUR Championship,,
TOUR Championship,,,4.0,-4.0,,-4.0,-9.0,,,2024,TOUR Championship,,
TOUR Championship,,,5.0,-5.0,-4.0,-3.0,-4.0,,,2024,TOUR Championship,,
TOUR Championship,,,6.0,-1.0,-7.0,,-3.0,,,2024,TOUR Championship,,
TOUR Championship,,,7.0,-2.0,-3.0,-3.0,-7.0,,,2024,TOUR Championship,,
TOUR Championship,,,8.0,-4.0,-4.0,-3.0,-2.0,,,2024,TOUR Championship,,
TOUR Championship,,,9.0,-2.0,-2.0,-3.0,-5.0,,,2024,TOUR Championship,,
TOUR Championship,,,10.0,-1.0,-1.0,-3.0,-4.0,,,2024,TOUR Championship,,
TOUR Championship,,,11.0,-2.0,-2.0,-6.0,-3.0,,,2024,TOUR Championship,,
TOUR Championship,,,12.0,-2.0,,-6.0,-5.0,,,2024,TOUR Championship,,
TOUR Championship,,,13.0,-4.0,-3.0,-3.0,-1.0,,,2024,TOUR Championship,,
TOUR Championship,,,14.0,-5.0,-2.0,-1.0,-6.0,,,2024,TOUR Championship,,
TOUR Championship,,,15.0,-5.0,-2.0,-1.0,-5.0,,,2024,TOUR Championship,,
TOUR Championship,,,16.0,,-3.0,-3.0,-1.0,,,2024,TOUR Championship,,
TOUR Championship,,,17.0,-2.0,,,-7.0,,,2024,TOUR Championship,,
TOUR Championship,,,18.0,-4.0,-2.0,,-4.0,,,2024,TOUR Championship,,
TOUR Championship,,,19.0,-2.0,-1.0,,-4.0,,,2024,TOUR Championship,,
TOUR Championship,,,20.0,-1.0,-4.0,,-4.0,,,2024,TOUR Championship,,
TOUR Championship,,,21.0,-2.0,3.0,,-3.0,,,2024,TOUR Championship,,
TOUR Championship,,,22.0,-2.0,,-2.0,-2.0,,,2024,TOUR Championship,,
TOUR Championship,,,23.0,2.0,-2.0,,-5.0,,,2024,TOUR Championship,,
TOUR Championship,,,24.0,-5.0,-1.0,1.0,-1.0,,,2024,TOUR Championship,,
TOUR Championship,,,25.0,-1.0,-5.0,3.0,,,,2024,TOUR Championship,,
TOUR Championship,,,26.0,-1.0,-2.0,,,,,2024,TOUR Championship,,
TOUR Championship,,,27.0,-1.0,3.0,-4.0,-1.0,,,2024,TOUR Championship,,
TOUR Championship,,,28.0,-3.0,-1.0,,2.0,,,2024,TOUR Championship,,
TOUR Championship,,,29.0,,-2.0,2.0,3.0,,,2024,TOUR Championship,,
TOUR Championship,,,30.0,-2.0,-3.0,5.0,3.0,,,2024,TOUR Championship,,
