tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
TOUR Championship by Coca-Cola,,,1.0,-2.0,-4.0,-2.0,-1.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,2.0,-1.0,2.0,-1.0,-5.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,3.0,,-2.0,1.0,-4.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,4.0,-7.0,-2.0,2.0,2.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,5.0,-1.0,2.0,1.0,-6.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,6.0,,1.0,-2.0,-3.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,7.0,-5.0,,1.0,,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,8.0,-2.0,2.0,-2.0,-1.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,9.0,-4.0,,1.0,,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,10.0,1.0,,-1.0,-2.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,11.0,-1.0,1.0,,-2.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,12.0,-1.0,3.0,-2.0,,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,13.0,-1.0,2.0,-1.0,,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,14.0,-2.0,-1.0,3.0,,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,15.0,-1.0,,-3.0,4.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,16.0,-2.0,3.0,,,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,17.0,-4.0,1.0,,4.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,18.0,5.0,5.0,-1.0,-5.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,19.0,3.0,1.0,4.0,-4.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,20.0,3.0,,2.0,-1.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,21.0,-2.0,4.0,2.0,,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,22.0,1.0,6.0,1.0,-3.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,23.0,3.0,2.0,,,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,24.0,-2.0,2.0,5.0,,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,25.0,4.0,3.0,3.0,,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,26.0,2.0,3.0,2.0,6.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,27.0,2.0,4.0,7.0,1.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,28.0,6.0,7.0,2.0,3.0,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,29.0,,,,,,,2015,TOUR Championship by Coca-Cola,,
TOUR Championship by Coca-Cola,,,30.0,,,,,,,2015,TOUR Championship by Coca-Cola,,
