tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Texas Children's Houston Open,,,1.0,-1.0,-4.0,-4.0,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,2.0,-1.0,-8.0,2.0,-4.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,3.0,-6.0,1.0,-3.0,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,4.0,-5.0,,-4.0,-2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,5.0,,-6.0,-3.0,-2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,6.0,-4.0,-3.0,-2.0,-2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,7.0,1.0,-2.0,-3.0,-6.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,8.0,-4.0,,-3.0,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,9.0,-3.0,-1.0,-3.0,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,10.0,-3.0,-1.0,-5.0,-1.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,11.0,-1.0,1.0,-4.0,-5.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,12.0,-2.0,1.0,-7.0,-1.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,13.0,-3.0,-2.0,-3.0,-1.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,14.0,-4.0,2.0,-1.0,-5.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,15.0,-5.0,1.0,1.0,-5.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,16.0,1.0,-4.0,-2.0,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,17.0,-1.0,,-2.0,-4.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,18.0,2.0,-2.0,-4.0,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,19.0,-2.0,,-3.0,-2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,20.0,-1.0,-4.0,-2.0,,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,21.0,-2.0,2.0,-2.0,-4.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,22.0,-1.0,,-1.0,-4.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,23.0,-2.0,1.0,-2.0,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,24.0,-2.0,-1.0,,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,25.0,-5.0,,2.0,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,26.0,2.0,-2.0,-4.0,-2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,27.0,1.0,-1.0,-5.0,-1.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,28.0,,,-2.0,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,29.0,2.0,-3.0,-1.0,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,30.0,-1.0,1.0,-3.0,-2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,31.0,,-2.0,2.0,-4.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,32.0,-1.0,-2.0,2.0,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,33.0,-1.0,1.0,-2.0,-2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,34.0,-2.0,2.0,-2.0,-2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,35.0,,1.0,-4.0,-1.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,36.0,1.0,,1.0,-5.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,37.0,1.0,,-2.0,-2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,38.0,-2.0,3.0,-2.0,-2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,39.0,2.0,-2.0,-1.0,-2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,40.0,-6.0,5.0,,-2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,41.0,-2.0,3.0,-3.0,-1.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,42.0,-2.0,-1.0,1.0,-1.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,43.0,3.0,-2.0,-4.0,,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,44.0,,-2.0,-1.0,,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,45.0,-2.0,3.0,,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,46.0,-2.0,1.0,1.0,-2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,47.0,,1.0,-2.0,-1.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,48.0,,,-1.0,-1.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,49.0,4.0,-3.0,-3.0,,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,50.0,-2.0,2.0,-2.0,,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,51.0,,-2.0,-2.0,2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,52.0,-2.0,-1.0,-1.0,2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,53.0,,1.0,1.0,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,54.0,-2.0,1.0,3.0,-3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,55.0,,1.0,,-2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,56.0,1.0,-3.0,,1.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,57.0,-3.0,4.0,,-1.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,58.0,1.0,,,-1.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,59.0,-4.0,3.0,1.0,,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,60.0,-1.0,1.0,-1.0,1.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,61.0,3.0,-2.0,-3.0,2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,62.0,1.0,-2.0,-1.0,2.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,63.0,-4.0,3.0,-2.0,3.0,,,2024,Texas Children's Houston Open,,
Texas Children's Houston Open,,,64.0,-1.0,,4.0,-2.0,,,2024,Texas Children's Houston Open,,
