tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
The American Express,,,1.0,-8.0,-8.0,-7.0,-4.0,,,2023,The American Express,,
The American Express,,,2.0,-10.0,-8.0,-5.0,-3.0,,,2023,The American Express,,
The American Express,,,3.0,-7.0,-4.0,-4.0,-10.0,,,2023,The American Express,,
The American Express,,,4.0,-3.0,-5.0,-9.0,-8.0,,,2023,The American Express,,
The American Express,,,5.0,-8.0,-3.0,-7.0,-6.0,,,2023,The American Express,,
The American Express,,,6.0,-7.0,,-6.0,-10.0,,,2023,The American Express,,
The American Express,,,7.0,-8.0,,-7.0,-8.0,,,2023,The American Express,,
The American Express,,,8.0,-6.0,-4.0,-7.0,-6.0,,,2023,The American Express,,
The American Express,,,9.0,-3.0,-10.0,-5.0,-5.0,,,2023,The American Express,,
The American Express,,,10.0,-7.0,-6.0,-6.0,-4.0,,,2023,The American Express,,
The American Express,,,11.0,-5.0,-4.0,-4.0,-9.0,,,2023,The American Express,,
The American Express,,,12.0,-4.0,-7.0,-6.0,-5.0,,,2023,The American Express,,
The American Express,,,13.0,-3.0,-9.0,-5.0,-5.0,,,2023,The American Express,,
The American Express,,,14.0,-8.0,-2.0,-8.0,-4.0,,,2023,The American Express,,
The American Express,,,15.0,-4.0,-5.0,-10.0,-3.0,,,2023,The American Express,,
The American Express,,,16.0,-5.0,-4.0,-5.0,-7.0,,,2023,The American Express,,
The American Express,,,17.0,-3.0,-5.0,-7.0,-6.0,,,2023,The American Express,,
The American Express,,,18.0,-4.0,-3.0,-8.0,-5.0,,,2023,The American Express,,
The American Express,,,19.0,-5.0,-8.0,-2.0,-5.0,,,2023,The American Express,,
The American Express,,,20.0,-7.0,-6.0,-4.0,-3.0,,,2023,The American Express,,
The American Express,,,21.0,-2.0,-6.0,-10.0,-2.0,,,2023,The American Express,,
The American Express,,,22.0,-5.0,-4.0,-1.0,-9.0,,,2023,The American Express,,
The American Express,,,23.0,-7.0,-1.0,-5.0,-6.0,,,2023,The American Express,,
The American Express,,,24.0,-2.0,-8.0,-3.0,-6.0,,,2023,The American Express,,
The American Express,,,25.0,-6.0,-2.0,-6.0,-5.0,,,2023,The American Express,,
The American Express,,,26.0,-6.0,-1.0,-3.0,-8.0,,,2023,The American Express,,
The American Express,,,27.0,-6.0,-1.0,-4.0,-7.0,,,2023,The American Express,,
The American Express,,,28.0,-4.0,-6.0,-1.0,-7.0,,,2023,The American Express,,
The American Express,,,29.0,-6.0,-5.0,,-7.0,,,2023,The American Express,,
The American Express,,,30.0,-4.0,-2.0,-7.0,-5.0,,,2023,The American Express,,
The American Express,,,31.0,-3.0,-6.0,-5.0,-4.0,,,2023,The American Express,,
The American Express,,,32.0,-4.0,1.0,-8.0,-6.0,,,2023,The American Express,,
The American Express,,,33.0,-1.0,-6.0,-4.0,-6.0,,,2023,The American Express,,
The American Express,,,34.0,1.0,-5.0,-8.0,-5.0,,,2023,The American Express,,
The American Express,,,35.0,-3.0,-3.0,-11.0,,,,2023,The American Express,,
The American Express,,,36.0,-3.0,-3.0,-5.0,-5.0,,,2023,The American Express,,
The American Express,,,37.0,-4.0,-2.0,-6.0,-4.0,,,2023,The American Express,,
The American Express,,,38.0,-7.0,-2.0,-3.0,-4.0,,,2023,The American Express,,
The American Express,,,39.0,-3.0,-3.0,-7.0,-3.0,,,2023,The American Express,,
The American Express,,,40.0,-4.0,-3.0,-7.0,-2.0,,,2023,The American Express,,
The American Express,,,41.0,-1.0,-4.0,-5.0,-5.0,,,2023,The American Express,,
The American Express,,,42.0,,-7.0,-3.0,-5.0,,,2023,The American Express,,
The American Express,,,43.0,-5.0,-4.0,-2.0,-4.0,,,2023,The American Express,,
The American Express,,,44.0,-5.0,-4.0,-2.0,-4.0,,,2023,The American Express,,
The American Express,,,45.0,-5.0,2.0,-9.0,-3.0,,,2023,The American Express,,
The American Express,,,46.0,-6.0,-3.0,-3.0,-3.0,,,2023,The American Express,,
The American Express,,,47.0,-6.0,-5.0,-3.0,-1.0,,,2023,The American Express,,
The American Express,,,48.0,-8.0,-5.0,-1.0,-1.0,,,2023,The American Express,,
The American Express,,,49.0,-1.0,-5.0,-10.0,1.0,,,2023,The American Express,,
The American Express,,,50.0,-2.0,-1.0,-8.0,-3.0,,,2023,The American Express,,
The American Express,,,51.0,-4.0,-6.0,-1.0,-3.0,,,2023,The American Express,,
The American Express,,,52.0,-1.0,-4.0,-7.0,-2.0,,,2023,The American Express,,
The American Express,,,53.0,-7.0,-1.0,-4.0,-2.0,,,2023,The American Express,,
The American Express,,,54.0,-2.0,-3.0,-6.0,-2.0,,,2023,The American Express,,
The American Express,,,55.0,-6.0,-2.0,-4.0,-1.0,,,2023,The American Express,,
The American Express,,,56.0,-4.0,-4.0,-4.0,-1.0,,,2023,The American Express,,
The American Express,,,57.0,-6.0,-2.0,-4.0,-1.0,,,2023,The American Express,,
The American Express,,,58.0,-6.0,-3.0,-3.0,-1.0,,,2023,The American Express,,
The American Express,,,59.0,,-7.0,-6.0,,,,2023,The American Express,,
The American Express,,,60.0,-7.0,-1.0,-5.0,,,,2023,The American Express,,
The American Express,,,61.0,-5.0,-5.0,-3.0,,,,2023,The American Express,,
The American Express,,,62.0,-4.0,,-6.0,-2.0,,,2023,The American Express,,
The American Express,,,63.0,-2.0,-4.0,-4.0,-2.0,,,2023,The American Express,,
The American Express,,,64.0,-1.0,-3.0,-7.0,-1.0,,,2023,The American Express,,
The American Express,,,65.0,-2.0,-5.0,-3.0,-1.0,,,2023,The American Express,,
The American Express,,,66.0,-3.0,-4.0,-4.0,,,,2023,The American Express,,
