tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
The Barclays,,,1.0,-5.0,-3.0,,-1.0,,,2016,The Barclays,,
The Barclays,,,2.0,-2.0,-2.0,1.0,-5.0,,,2016,The Barclays,,
The Barclays,,,3.0,-4.0,-2.0,,-2.0,,,2016,The Barclays,,
The Barclays,,,4.0,,-2.0,-3.0,-2.0,,,2016,The Barclays,,
The Barclays,,,5.0,-3.0,-1.0,-1.0,-2.0,,,2016,The Barclays,,
The Barclays,,,6.0,-2.0,1.0,-6.0,,,,2016,The Barclays,,
The Barclays,,,7.0,3.0,-5.0,-2.0,-2.0,,,2016,The Barclays,,
The Barclays,,,8.0,-2.0,-3.0,1.0,-2.0,,,2016,The Barclays,,
The Barclays,,,9.0,-4.0,-2.0,-3.0,3.0,,,2016,The Barclays,,
The Barclays,,,10.0,,-4.0,1.0,-2.0,,,2016,The Barclays,,
The Barclays,,,11.0,,,-5.0,,,,2016,The Barclays,,
The Barclays,,,12.0,1.0,-1.0,-4.0,,,,2016,The Barclays,,
The Barclays,,,13.0,,3.0,-1.0,-5.0,,,2016,The Barclays,,
The Barclays,,,14.0,,-2.0,3.0,-4.0,,,2016,The Barclays,,
The Barclays,,,15.0,-1.0,2.0,-1.0,-3.0,,,2016,The Barclays,,
The Barclays,,,16.0,-2.0,1.0,-1.0,-1.0,,,2016,The Barclays,,
The Barclays,,,17.0,,-3.0,-1.0,1.0,,,2016,The Barclays,,
The Barclays,,,18.0,-3.0,4.0,4.0,-7.0,,,2016,The Barclays,,
The Barclays,,,19.0,1.0,2.0,-1.0,-4.0,,,2016,The Barclays,,
The Barclays,,,20.0,-1.0,1.0,-4.0,2.0,,,2016,The Barclays,,
The Barclays,,,21.0,-5.0,1.0,-2.0,4.0,,,2016,The Barclays,,
The Barclays,,,22.0,3.0,-2.0,5.0,-7.0,,,2016,The Barclays,,
The Barclays,,,23.0,-1.0,1.0,,-1.0,,,2016,The Barclays,,
The Barclays,,,24.0,-2.0,1.0,1.0,-1.0,,,2016,The Barclays,,
The Barclays,,,25.0,-3.0,,3.0,-1.0,,,2016,The Barclays,,
The Barclays,,,26.0,,-3.0,2.0,,,,2016,The Barclays,,
The Barclays,,,27.0,2.0,-1.0,-3.0,1.0,,,2016,The Barclays,,
The Barclays,,,28.0,2.0,-3.0,-2.0,2.0,,,2016,The Barclays,,
The Barclays,,,29.0,3.0,-5.0,-2.0,3.0,,,2016,The Barclays,,
The Barclays,,,30.0,,-1.0,-4.0,4.0,,,2016,The Barclays,,
The Barclays,,,31.0,-1.0,,4.0,-3.0,,,2016,The Barclays,,
The Barclays,,,32.0,-2.0,2.0,2.0,-2.0,,,2016,The Barclays,,
The Barclays,,,33.0,,-1.0,3.0,-2.0,,,2016,The Barclays,,
The Barclays,,,34.0,-4.0,1.0,4.0,-1.0,,,2016,The Barclays,,
The Barclays,,,35.0,2.0,-1.0,-1.0,,,,2016,The Barclays,,
The Barclays,,,36.0,-2.0,,2.0,,,,2016,The Barclays,,
The Barclays,,,37.0,,-1.0,,1.0,,,2016,The Barclays,,
The Barclays,,,38.0,-1.0,-1.0,1.0,1.0,,,2016,The Barclays,,
The Barclays,,,39.0,-1.0,,-1.0,2.0,,,2016,The Barclays,,
The Barclays,,,40.0,,-2.0,,2.0,,,2016,The Barclays,,
The Barclays,,,41.0,2.0,-1.0,4.0,-4.0,,,2016,The Barclays,,
The Barclays,,,42.0,1.0,2.0,1.0,-3.0,,,2016,The Barclays,,
The Barclays,,,43.0,2.0,,1.0,-2.0,,,2016,The Barclays,,
The Barclays,,,44.0,-4.0,1.0,5.0,-1.0,,,2016,The Barclays,,
The Barclays,,,45.0,,2.0,-3.0,2.0,,,2016,The Barclays,,
The Barclays,,,46.0,-1.0,,,2.0,,,2016,The Barclays,,
The Barclays,,,47.0,-1.0,-2.0,,4.0,,,2016,The Barclays,,
The Barclays,,,48.0,2.0,-2.0,4.0,-2.0,,,2016,The Barclays,,
The Barclays,,,49.0,1.0,2.0,,-1.0,,,2016,The Barclays,,
The Barclays,,,50.0,1.0,2.0,,-1.0,,,2016,The Barclays,,
The Barclays,,,51.0,-1.0,2.0,-1.0,2.0,,,2016,The Barclays,,
The Barclays,,,52.0,-1.0,1.0,-3.0,5.0,,,2016,The Barclays,,
The Barclays,,,53.0,1.0,-1.0,3.0,,,,2016,The Barclays,,
The Barclays,,,54.0,-1.0,,3.0,1.0,,,2016,The Barclays,,
The Barclays,,,55.0,4.0,-1.0,-2.0,2.0,,,2016,The Barclays,,
The Barclays,,,56.0,3.0,-1.0,-2.0,3.0,,,2016,The Barclays,,
The Barclays,,,57.0,-2.0,,1.0,4.0,,,2016,The Barclays,,
