tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
The Greenbrier Classic,,,1.0,-7.0,-1.0,-2.0,-3.0,,,2015,The Greenbrier Classic,-1.0,
The Greenbrier Classic,,,2.0,-2.0,-6.0,-2.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,3.0,-2.0,-3.0,-3.0,-5.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,4.0,,-4.0,-1.0,-7.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,5.0,-4.0,-3.0,,-4.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,6.0,-3.0,-3.0,-2.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,7.0,-5.0,-3.0,,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,8.0,-3.0,,-6.0,-2.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,9.0,-5.0,-1.0,-3.0,-2.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,10.0,-5.0,-3.0,-2.0,-1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,11.0,-2.0,-6.0,-3.0,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,12.0,-8.0,-1.0,4.0,-5.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,13.0,-2.0,-3.0,-1.0,-4.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,14.0,-2.0,-2.0,-3.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,15.0,-1.0,-3.0,-3.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,16.0,-3.0,-2.0,-2.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,17.0,-2.0,-3.0,-2.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,18.0,-2.0,-4.0,-1.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,19.0,-1.0,-1.0,-9.0,1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,20.0,-4.0,-3.0,-4.0,1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,21.0,-1.0,-1.0,-2.0,-5.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,22.0,-3.0,1.0,-2.0,-5.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,23.0,-2.0,,-3.0,-4.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,24.0,-3.0,-1.0,-1.0,-4.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,25.0,-3.0,-2.0,-2.0,-2.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,26.0,-3.0,-2.0,-2.0,-2.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,27.0,-7.0,-1.0,-1.0,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,28.0,-2.0,-1.0,1.0,-6.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,29.0,-3.0,-4.0,1.0,-2.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,30.0,-2.0,-2.0,-3.0,-1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,31.0,-5.0,,1.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,32.0,-4.0,-1.0,1.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,33.0,-2.0,-3.0,,-2.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,34.0,-1.0,-2.0,-3.0,-1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,35.0,-1.0,-2.0,-3.0,-1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,36.0,-4.0,1.0,1.0,-4.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,37.0,-3.0,1.0,-1.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,38.0,-6.0,,3.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,39.0,-4.0,-5.0,6.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,40.0,-4.0,2.0,-2.0,-2.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,41.0,-2.0,-4.0,2.0,-2.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,42.0,-2.0,,-3.0,-1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,43.0,-4.0,-1.0,,-1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,44.0,-3.0,,-3.0,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,45.0,-4.0,-2.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,46.0,-4.0,-3.0,1.0,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,47.0,-5.0,-3.0,2.0,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,48.0,-3.0,,-4.0,1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,49.0,-3.0,-1.0,-3.0,1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,50.0,-2.0,-4.0,-1.0,1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,51.0,-1.0,-5.0,-2.0,2.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,52.0,-2.0,-5.0,-4.0,5.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,53.0,-4.0,1.0,2.0,-4.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,54.0,-1.0,-1.0,-2.0,-1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,55.0,-2.0,-1.0,-1.0,-1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,56.0,-2.0,-3.0,1.0,-1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,57.0,,-5.0,1.0,-1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,58.0,-3.0,-3.0,-4.0,5.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,59.0,-2.0,,1.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,60.0,3.0,-5.0,-1.0,-1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,61.0,-4.0,1.0,-1.0,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,62.0,,-4.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,63.0,-3.0,-2.0,-2.0,3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,64.0,-2.0,-4.0,-1.0,3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,65.0,-2.0,-5.0,-1.0,4.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,66.0,-3.0,-1.0,4.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,67.0,2.0,-4.0,1.0,-2.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,68.0,,-2.0,-1.0,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,69.0,-1.0,-1.0,-2.0,1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,70.0,-1.0,-1.0,-2.0,1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,71.0,-1.0,-2.0,-1.0,1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,72.0,,-2.0,3.0,-3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,73.0,,-4.0,3.0,-1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,74.0,-2.0,,,1.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,75.0,-6.0,1.0,5.0,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,76.0,-3.0,,1.0,3.0,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,77.0,3.0,-4.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,78.0,2.0,-3.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,79.0,,-1.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,80.0,,-1.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,81.0,-1.0,,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,82.0,-1.0,,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,83.0,-1.0,,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,84.0,-1.0,,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,85.0,-2.0,1.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,86.0,-2.0,1.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,87.0,-2.0,1.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,88.0,-3.0,2.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,89.0,-4.0,3.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,90.0,-4.0,3.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,91.0,3.0,-3.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,92.0,2.0,-2.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,93.0,2.0,-2.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,94.0,1.0,-1.0,,,,,2015,The Greenbrier Classic,,
The Greenbrier Classic,,,95.0,1.0,-1.0,,,,,2015,The Greenbrier Classic,,
