tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
The Honda Classic,,,1.0,-9.0,,-1.0,-2.0,,,2021,The Honda Classic,,
The Honda Classic,,,2.0,-1.0,-8.0,6.0,-4.0,,,2021,The Honda Classic,,
The Honda Classic,,,3.0,-3.0,4.0,-1.0,-6.0,,,2021,The Honda Classic,,
The Honda Classic,,,4.0,3.0,-5.0,1.0,-5.0,,,2021,The Honda Classic,,
The Honda Classic,,,5.0,-2.0,-5.0,4.0,-3.0,,,2021,The Honda Classic,,
The Honda Classic,,,6.0,-6.0,-1.0,3.0,-2.0,,,2021,The Honda Classic,,
The Honda Classic,,,7.0,-3.0,2.0,-5.0,,,,2021,The Honda Classic,,
The Honda Classic,,,8.0,2.0,-5.0,,-2.0,,,2021,The Honda Classic,,
The Honda Classic,,,9.0,-1.0,-5.0,2.0,-1.0,,,2021,The Honda Classic,,
The Honda Classic,,,10.0,-2.0,-2.0,-1.0,,,,2021,The Honda Classic,,
The Honda Classic,,,11.0,-3.0,-2.0,,,,,2021,The Honda Classic,,
The Honda Classic,,,12.0,-1.0,-7.0,2.0,1.0,,,2021,The Honda Classic,,
The Honda Classic,,,13.0,-4.0,,5.0,-5.0,,,2021,The Honda Classic,,
The Honda Classic,,,14.0,-1.0,-3.0,2.0,-2.0,,,2021,The Honda Classic,,
The Honda Classic,,,15.0,-4.0,1.0,,-1.0,,,2021,The Honda Classic,,
The Honda Classic,,,16.0,-1.0,-4.0,,1.0,,,2021,The Honda Classic,,
The Honda Classic,,,17.0,-3.0,-2.0,-1.0,2.0,,,2021,The Honda Classic,,
The Honda Classic,,,18.0,-6.0,-6.0,5.0,3.0,,,2021,The Honda Classic,,
The Honda Classic,,,19.0,1.0,-4.0,3.0,-3.0,,,2021,The Honda Classic,,
The Honda Classic,,,20.0,-2.0,-3.0,4.0,-2.0,,,2021,The Honda Classic,,
The Honda Classic,,,21.0,-2.0,,,-1.0,,,2021,The Honda Classic,,
The Honda Classic,,,22.0,1.0,-5.0,1.0,,,,2021,The Honda Classic,,
The Honda Classic,,,23.0,1.0,-4.0,-1.0,1.0,,,2021,The Honda Classic,,
The Honda Classic,,,24.0,1.0,-6.0,,2.0,,,2021,The Honda Classic,,
The Honda Classic,,,25.0,-1.0,-3.0,3.0,-1.0,,,2021,The Honda Classic,,
The Honda Classic,,,26.0,1.0,-2.0,-1.0,,,,2021,The Honda Classic,,
The Honda Classic,,,27.0,1.0,-1.0,-4.0,2.0,,,2021,The Honda Classic,,
The Honda Classic,,,28.0,-2.0,1.0,-3.0,2.0,,,2021,The Honda Classic,,
The Honda Classic,,,29.0,1.0,-6.0,,3.0,,,2021,The Honda Classic,,
The Honda Classic,,,30.0,-1.0,-1.0,4.0,-3.0,,,2021,The Honda Classic,,
The Honda Classic,,,31.0,1.0,-2.0,-1.0,1.0,,,2021,The Honda Classic,,
The Honda Classic,,,32.0,-1.0,-1.0,-3.0,4.0,,,2021,The Honda Classic,,
The Honda Classic,,,33.0,,-1.0,,1.0,,,2021,The Honda Classic,,
The Honda Classic,,,34.0,-2.0,,-1.0,3.0,,,2021,The Honda Classic,,
The Honda Classic,,,35.0,-4.0,1.0,,3.0,,,2021,The Honda Classic,,
The Honda Classic,,,36.0,-2.0,1.0,4.0,-2.0,,,2021,The Honda Classic,,
The Honda Classic,,,37.0,,1.0,1.0,-1.0,,,2021,The Honda Classic,,
The Honda Classic,,,38.0,-2.0,2.0,1.0,,,,2021,The Honda Classic,,
The Honda Classic,,,39.0,4.0,-4.0,1.0,,,,2021,The Honda Classic,,
The Honda Classic,,,40.0,,-2.0,3.0,,,,2021,The Honda Classic,,
The Honda Classic,,,41.0,2.0,-4.0,2.0,1.0,,,2021,The Honda Classic,,
The Honda Classic,,,42.0,-1.0,-3.0,3.0,2.0,,,2021,The Honda Classic,,
The Honda Classic,,,43.0,3.0,-3.0,-2.0,3.0,,,2021,The Honda Classic,,
The Honda Classic,,,44.0,-3.0,-1.0,2.0,3.0,,,2021,The Honda Classic,,
The Honda Classic,,,45.0,-3.0,-4.0,4.0,4.0,,,2021,The Honda Classic,,
The Honda Classic,,,46.0,2.0,-1.0,2.0,-1.0,,,2021,The Honda Classic,,
The Honda Classic,,,47.0,2.0,-1.0,1.0,,,,2021,The Honda Classic,,
The Honda Classic,,,48.0,1.0,-3.0,3.0,1.0,,,2021,The Honda Classic,,
The Honda Classic,,,49.0,-2.0,3.0,-1.0,2.0,,,2021,The Honda Classic,,
The Honda Classic,,,50.0,,-1.0,,3.0,,,2021,The Honda Classic,,
The Honda Classic,,,51.0,1.0,-2.0,-1.0,4.0,,,2021,The Honda Classic,,
The Honda Classic,,,52.0,-1.0,-3.0,-3.0,9.0,,,2021,The Honda Classic,,
The Honda Classic,,,53.0,-1.0,-1.0,4.0,1.0,,,2021,The Honda Classic,,
The Honda Classic,,,54.0,-4.0,-3.0,9.0,1.0,,,2021,The Honda Classic,,
The Honda Classic,,,55.0,-2.0,-2.0,5.0,2.0,,,2021,The Honda Classic,,
The Honda Classic,,,56.0,,1.0,-1.0,3.0,,,2021,The Honda Classic,,
The Honda Classic,,,57.0,,-1.0,1.0,3.0,,,2021,The Honda Classic,,
The Honda Classic,,,58.0,-1.0,-2.0,7.0,,,,2021,The Honda Classic,,
The Honda Classic,,,59.0,,1.0,-4.0,7.0,,,2021,The Honda Classic,,
The Honda Classic,,,60.0,-2.0,1.0,6.0,,,,2021,The Honda Classic,,
The Honda Classic,,,61.0,1.0,,2.0,2.0,,,2021,The Honda Classic,,
The Honda Classic,,,62.0,-1.0,-1.0,2.0,5.0,,,2021,The Honda Classic,,
The Honda Classic,,,63.0,,,-1.0,6.0,,,2021,The Honda Classic,,
The Honda Classic,,,64.0,,1.0,4.0,1.0,,,2021,The Honda Classic,,
The Honda Classic,,,65.0,,-2.0,8.0,1.0,,,2021,The Honda Classic,,
The Honda Classic,,,66.0,1.0,,,6.0,,,2021,The Honda Classic,,
The Honda Classic,,,67.0,-1.0,,8.0,3.0,,,2021,The Honda Classic,,
