tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
The McGladrey Classic,,,1.0,-1.0,-4.0,-2.0,-7.0,,,2015,The McGladrey Classic,-1.0,
The McGladrey Classic,,,2.0,-2.0,-6.0,-1.0,-5.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,3.0,-5.0,-2.0,-5.0,-2.0,,,2015,The McGladrey Classic,1.0,
The McGladrey Classic,,,4.0,-1.0,-2.0,-4.0,-5.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,5.0,-3.0,-1.0,-4.0,-4.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,6.0,-2.0,-3.0,-4.0,-3.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,7.0,-2.0,-7.0,-2.0,-1.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,8.0,-3.0,-3.0,,-5.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,9.0,-3.0,-4.0,-1.0,-3.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,10.0,-3.0,-4.0,-2.0,-2.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,11.0,-4.0,-4.0,-4.0,1.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,12.0,,-3.0,-4.0,-3.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,13.0,-2.0,-3.0,-4.0,-1.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,14.0,3.0,-4.0,-3.0,-5.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,15.0,1.0,-3.0,-3.0,-4.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,16.0,-2.0,-3.0,,-4.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,17.0,1.0,-1.0,-5.0,-3.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,18.0,-1.0,1.0,-6.0,-2.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,19.0,-2.0,-3.0,-1.0,-2.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,20.0,,-2.0,-5.0,-1.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,21.0,-3.0,-3.0,-2.0,,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,22.0,-4.0,1.0,2.0,-6.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,23.0,,,-4.0,-3.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,24.0,-2.0,-1.0,-1.0,-3.0,,,2015,The McGladrey Classic,,
The McGladrey Classic,,,25.0,,-1.0,-4.0,-2.0,,,2015,The McGladrey Classic,,
