tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
The Open,,,1.0,-3.0,-6.0,-3.0,-8.0,,,2016,Barbasol Championship,,
The Open,,,2.0,-8.0,-2.0,-1.0,-6.0,,,2016,Barbasol Championship,,
The Open,,,3.0,-1.0,-1.0,-2.0,-2.0,,,2016,Barbasol Championship,,
The Open,,,4.0,-4.0,4.0,-3.0,-2.0,,,2016,Barbasol Championship,,
The Open,,,5.0,-2.0,,2.0,-4.0,,,2016,Barbasol Championship,,
The Open,,,6.0,-1.0,,,-3.0,,,2016,Barbasol Championship,,
The Open,,,7.0,-3.0,-1.0,2.0,-2.0,,,2016,Barbasol Championship,,
The Open,,,8.0,-2.0,-2.0,-1.0,2.0,,,2016,Barbasol Championship,,
The Open,,,9.0,,-2.0,1.0,-1.0,,,2016,Barbasol Championship,,
The Open,,,10.0,-4.0,-3.0,4.0,1.0,,,2016,Barbasol Championship,,
The Open,,,11.0,-3.0,-1.0,-2.0,4.0,,,2016,Barbasol Championship,,
The Open,,,12.0,-4.0,5.0,,-2.0,,,2016,Barbasol Championship,,
The Open,,,13.0,,,1.0,-2.0,,,2016,Barbasol Championship,,
The Open,,,14.0,-2.0,2.0,,-1.0,,,2016,Barbasol Championship,,
The Open,,,15.0,-2.0,1.0,1.0,-1.0,,,2016,Barbasol Championship,,
The Open,,,16.0,-4.0,-1.0,4.0,,,,2016,Barbasol Championship,,
The Open,,,17.0,-5.0,3.0,,1.0,,,2016,Barbasol Championship,,
The Open,,,18.0,,1.0,-1.0,,,,2016,Barbasol Championship,,
The Open,,,19.0,1.0,-5.0,2.0,2.0,,,2016,Barbasol Championship,,
The Open,,,20.0,-4.0,-3.0,5.0,2.0,,,2016,Barbasol Championship,,
The Open,,,21.0,-4.0,,1.0,3.0,,,2016,Barbasol Championship,,
The Open,,,22.0,,2.0,2.0,-3.0,,,2016,Barbasol Championship,,
The Open,,,23.0,,,3.0,-2.0,,,2016,Barbasol Championship,,
The Open,,,24.0,-3.0,6.0,-1.0,-1.0,,,2016,Barbasol Championship,,
The Open,,,25.0,3.0,-1.0,,-1.0,,,2016,Barbasol Championship,,
The Open,,,26.0,2.0,2.0,-3.0,,,,2016,Barbasol Championship,,
The Open,,,27.0,,3.0,-2.0,,,,2016,Barbasol Championship,,
The Open,,,28.0,2.0,-1.0,,,,,2016,Barbasol Championship,,
The Open,,,29.0,-1.0,-2.0,2.0,2.0,,,2016,Barbasol Championship,,
The Open,,,30.0,,4.0,1.0,-3.0,,,2016,Barbasol Championship,,
The Open,,,31.0,1.0,-1.0,4.0,-2.0,,,2016,Barbasol Championship,,
The Open,,,32.0,1.0,2.0,,-1.0,,,2016,Barbasol Championship,,
The Open,,,33.0,,1.0,2.0,-1.0,,,2016,Barbasol Championship,,
The Open,,,34.0,-1.0,5.0,-3.0,1.0,,,2016,Barbasol Championship,,
The Open,,,35.0,-3.0,5.0,-1.0,1.0,,,2016,Barbasol Championship,,
The Open,,,36.0,-1.0,1.0,2.0,1.0,,,2016,Barbasol Championship,,
The Open,,,37.0,-2.0,,2.0,3.0,,,2016,Barbasol Championship,,
The Open,,,38.0,-5.0,2.0,3.0,3.0,,,2016,Barbasol Championship,,
The Open,,,39.0,-1.0,5.0,1.0,-1.0,,,2016,Barbasol Championship,,
The Open,,,40.0,-2.0,2.0,4.0,,,,2016,Barbasol Championship,,
The Open,,,41.0,-3.0,,4.0,3.0,,,2016,Barbasol Championship,,
The Open,,,42.0,-1.0,1.0,,4.0,,,2016,Barbasol Championship,,
The Open,,,43.0,-2.0,2.0,5.0,,,,2016,Barbasol Championship,,
The Open,,,44.0,2.0,1.0,1.0,1.0,,,2016,Barbasol Championship,,
The Open,,,45.0,-1.0,-1.0,1.0,6.0,,,2016,Barbasol Championship,,
The Open,,,46.0,2.0,2.0,2.0,,,,2016,Barbasol Championship,,
The Open,,,47.0,-3.0,3.0,5.0,1.0,,,2016,Barbasol Championship,,
The Open,,,48.0,-1.0,2.0,3.0,2.0,,,2016,Barbasol Championship,,
The Open,,,49.0,-2.0,1.0,5.0,2.0,,,2016,Barbasol Championship,,
The Open,,,50.0,1.0,2.0,-1.0,4.0,,,2016,Barbasol Championship,,
The Open,,,51.0,-1.0,1.0,2.0,4.0,,,2016,Barbasol Championship,,
The Open,,,52.0,,-3.0,4.0,5.0,,,2016,Barbasol Championship,,
The Open,,,53.0,,4.0,3.0,,,,2016,Barbasol Championship,,
The Open,,,54.0,,4.0,2.0,1.0,,,2016,Barbasol Championship,,
The Open,,,55.0,-4.0,6.0,3.0,2.0,,,2016,Barbasol Championship,,
The Open,,,56.0,3.0,-2.0,4.0,2.0,,,2016,Barbasol Championship,,
The Open,,,57.0,-1.0,,6.0,2.0,,,2016,Barbasol Championship,,
The Open,,,58.0,,4.0,3.0,1.0,,,2016,Barbasol Championship,,
The Open,,,59.0,,2.0,6.0,1.0,,,2016,Barbasol Championship,,
The Open,,,60.0,3.0,1.0,1.0,4.0,,,2016,Barbasol Championship,,
The Open,,,61.0,3.0,,2.0,4.0,,,2016,Barbasol Championship,,
The Open,,,62.0,-1.0,-1.0,5.0,6.0,,,2016,Barbasol Championship,,
The Open,,,63.0,,1.0,7.0,2.0,,,2016,Barbasol Championship,,
The Open,,,64.0,1.0,3.0,3.0,3.0,,,2016,Barbasol Championship,,
The Open,,,65.0,4.0,,1.0,5.0,,,2016,Barbasol Championship,,
The Open,,,66.0,-2.0,5.0,3.0,5.0,,,2016,Barbasol Championship,,
The Open,,,67.0,,1.0,4.0,6.0,,,2016,Barbasol Championship,,
The Open,,,68.0,1.0,2.0,6.0,3.0,,,2016,Barbasol Championship,,
The Open,,,69.0,5.0,-1.0,4.0,4.0,,,2016,Barbasol Championship,,
The Open,,,70.0,3.0,1.0,3.0,5.0,,,2016,Barbasol Championship,,
The Open,,,71.0,-2.0,1.0,5.0,8.0,,,2016,Barbasol Championship,,
The Open,,,72.0,,2.0,6.0,5.0,,,2016,Barbasol Championship,,
The Open,,,73.0,-1.0,3.0,5.0,6.0,,,2016,Barbasol Championship,,
The Open,,,74.0,-3.0,3.0,7.0,6.0,,,2016,Barbasol Championship,,
The Open,,,75.0,-2.0,2.0,5.0,8.0,,,2016,Barbasol Championship,,
The Open,,,76.0,-1.0,1.0,9.0,5.0,,,2016,Barbasol Championship,,
The Open,,,77.0,,2.0,7.0,6.0,,,2016,Barbasol Championship,,
The Open,,,78.0,,4.0,8.0,5.0,,,2016,Barbasol Championship,,
The Open,,,79.0,-2.0,6.0,7.0,7.0,,,2016,Barbasol Championship,,
The Open,,,80.0,-3.0,6.0,4.0,11.0,,,2016,Barbasol Championship,,
The Open,,,81.0,1.0,,6.0,14.0,,,2016,Barbasol Championship,,
The Open,,,82.0,4.0,1.0,,,,,2016,Barbasol Championship,,
The Open,,,83.0,4.0,1.0,,,,,2016,Barbasol Championship,,
The Open,,,84.0,3.0,2.0,,,,,2016,Barbasol Championship,,
The Open,,,85.0,2.0,3.0,,,,,2016,Barbasol Championship,,
The Open,,,86.0,1.0,4.0,,,,,2016,Barbasol Championship,,
The Open,,,87.0,1.0,4.0,,,,,2016,Barbasol Championship,,
The Open,,,88.0,,5.0,,,,,2016,Barbasol Championship,,
The Open,,,89.0,4.0,2.0,,,,,2016,Barbasol Championship,,
The Open,,,90.0,2.0,4.0,,,,,2016,Barbasol Championship,,
The Open,,,91.0,2.0,4.0,,,,,2016,Barbasol Championship,,
The Open,,,92.0,2.0,4.0,,,,,2016,Barbasol Championship,,
The Open,,,93.0,1.0,5.0,,,,,2016,Barbasol Championship,,
The Open,,,94.0,1.0,5.0,,,,,2016,Barbasol Championship,,
The Open,,,95.0,1.0,5.0,,,,,2016,Barbasol Championship,,
The Open,,,96.0,1.0,5.0,,,,,2016,Barbasol Championship,,
The Open,,,97.0,-1.0,7.0,,,,,2016,Barbasol Championship,,
The Open,,,98.0,-1.0,7.0,,,,,2016,Barbasol Championship,,
The Open,,,99.0,-2.0,8.0,,,,,2016,Barbasol Championship,,
The Open,,,100.0,-3.0,9.0,,,,,2016,Barbasol Championship,,
The Open,,,101.0,7.0,,,,,,2016,Barbasol Championship,,
The Open,,,102.0,5.0,2.0,,,,,2016,Barbasol Championship,,
The Open,,,103.0,4.0,3.0,,,,,2016,Barbasol Championship,,
The Open,,,104.0,4.0,3.0,,,,,2016,Barbasol Championship,,
The Open,,,105.0,3.0,4.0,,,,,2016,Barbasol Championship,,
The Open,,,106.0,2.0,5.0,,,,,2016,Barbasol Championship,,
The Open,,,107.0,2.0,5.0,,,,,2016,Barbasol Championship,,
The Open,,,108.0,2.0,5.0,,,,,2016,Barbasol Championship,,
The Open,,,109.0,2.0,5.0,,,,,2016,Barbasol Championship,,
The Open,,,110.0,,7.0,,,,,2016,Barbasol Championship,,
The Open,,,111.0,6.0,2.0,,,,,2016,Barbasol Championship,,
The Open,,,112.0,5.0,3.0,,,,,2016,Barbasol Championship,,
The Open,,,113.0,5.0,3.0,,,,,2016,Barbasol Championship,,
The Open,,,114.0,4.0,4.0,,,,,2016,Barbasol Championship,,
The Open,,,115.0,3.0,5.0,,,,,2016,Barbasol Championship,,
The Open,,,116.0,2.0,6.0,,,,,2016,Barbasol Championship,,
The Open,,,117.0,1.0,7.0,,,,,2016,Barbasol Championship,,
The Open,,,118.0,1.0,7.0,,,,,2016,Barbasol Championship,,
The Open,,,119.0,,8.0,,,,,2016,Barbasol Championship,,
The Open,,,120.0,,8.0,,,,,2016,Barbasol Championship,,
The Open,,,121.0,7.0,2.0,,,,,2016,Barbasol Championship,,
The Open,,,122.0,6.0,3.0,,,,,2016,Barbasol Championship,,
The Open,,,123.0,6.0,3.0,,,,,2016,Barbasol Championship,,
The Open,,,124.0,4.0,5.0,,,,,2016,Barbasol Championship,,
The Open,,,125.0,3.0,6.0,,,,,2016,Barbasol Championship,,
The Open,,,126.0,2.0,7.0,,,,,2016,Barbasol Championship,,
The Open,,,127.0,1.0,8.0,,,,,2016,Barbasol Championship,,
The Open,,,128.0,1.0,8.0,,,,,2016,Barbasol Championship,,
The Open,,,129.0,8.0,2.0,,,,,2016,Barbasol Championship,,
The Open,,,130.0,4.0,6.0,,,,,2016,Barbasol Championship,,
The Open,,,131.0,3.0,7.0,,,,,2016,Barbasol Championship,,
The Open,,,132.0,3.0,7.0,,,,,2016,Barbasol Championship,,
The Open,,,133.0,1.0,9.0,,,,,2016,Barbasol Championship,,
The Open,,,134.0,1.0,9.0,,,,,2016,Barbasol Championship,,
The Open,,,135.0,,10.0,,,,,2016,Barbasol Championship,,
The Open,,,136.0,-4.0,14.0,,,,,2016,Barbasol Championship,,
The Open,,,137.0,7.0,4.0,,,,,2016,Barbasol Championship,,
The Open,,,138.0,6.0,5.0,,,,,2016,Barbasol Championship,,
The Open,,,139.0,5.0,6.0,,,,,2016,Barbasol Championship,,
The Open,,,140.0,4.0,7.0,,,,,2016,Barbasol Championship,,
The Open,,,141.0,2.0,9.0,,,,,2016,Barbasol Championship,,
The Open,,,142.0,5.0,7.0,,,,,2016,Barbasol Championship,,
The Open,,,143.0,5.0,7.0,,,,,2016,Barbasol Championship,,
The Open,,,144.0,2.0,10.0,,,,,2016,Barbasol Championship,,
The Open,,,145.0,,12.0,,,,,2016,Barbasol Championship,,
The Open,,,146.0,7.0,6.0,,,,,2016,Barbasol Championship,,
The Open,,,147.0,6.0,7.0,,,,,2016,Barbasol Championship,,
The Open,,,148.0,3.0,10.0,,,,,2016,Barbasol Championship,,
The Open,,,149.0,8.0,7.0,,,,,2016,Barbasol Championship,,
The Open,,,150.0,6.0,10.0,,,,,2016,Barbasol Championship,,
The Open,,,151.0,4.0,13.0,,,,,2016,Barbasol Championship,,
The Open,,,152.0,6.0,12.0,,,,,2016,Barbasol Championship,,
The Open,,,153.0,14.0,7.0,,,,,2016,Barbasol Championship,,
The Open,,,154.0,11.0,,,,,,2016,Barbasol Championship,,
The Open,,,155.0,4.0,4.0,,,,,2016,Barbasol Championship,,
The Open,,,156.0,,,,,,,2016,Barbasol Championship,,
The Open,,,1.0,-3.0,-6.0,-3.0,-8.0,,,2016,The Open,,
The Open,,,2.0,-8.0,-2.0,-1.0,-6.0,,,2016,The Open,,
The Open,,,3.0,-1.0,-1.0,-2.0,-2.0,,,2016,The Open,,
The Open,,,4.0,-4.0,4.0,-3.0,-2.0,,,2016,The Open,,
The Open,,,5.0,-2.0,,2.0,-4.0,,,2016,The Open,,
The Open,,,6.0,-1.0,,,-3.0,,,2016,The Open,,
