tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
The Open Championship,,,1.0,-4.0,-4.0,-8.0,1.0,,,2019,The Open Championship,,
The Open Championship,,,2.0,-3.0,-4.0,-5.0,3.0,,,2019,The Open Championship,,
The Open Championship,,,3.0,-3.0,-1.0,-3.0,,,,2019,The Open Championship,,
The Open Championship,,,4.0,-3.0,-4.0,-1.0,2.0,,,2019,The Open Championship,,
The Open Championship,,,5.0,-3.0,-2.0,-4.0,3.0,,,2019,The Open Championship,,
The Open Championship,,,6.0,-3.0,1.0,,-3.0,,,2019,The Open Championship,,
The Open Championship,,,7.0,-3.0,,,-2.0,,,2019,The Open Championship,,
The Open Championship,,,8.0,3.0,-4.0,-6.0,2.0,,,2019,The Open Championship,,
The Open Championship,,,9.0,-1.0,-2.0,-5.0,3.0,,,2019,The Open Championship,,
The Open Championship,,,10.0,,-4.0,,,,,2019,The Open Championship,,
The Open Championship,,,11.0,3.0,-2.0,1.0,-5.0,,,2019,The Open Championship,,
The Open Championship,,,12.0,4.0,-3.0,-3.0,-1.0,,,2019,The Open Championship,,
The Open Championship,,,13.0,,-1.0,-3.0,1.0,,,2019,The Open Championship,,
The Open Championship,,,14.0,-3.0,,-3.0,3.0,,,2019,The Open Championship,,
The Open Championship,,,15.0,-3.0,-1.0,-3.0,4.0,,,2019,The Open Championship,,
The Open Championship,,,16.0,-3.0,4.0,-1.0,-2.0,,,2019,The Open Championship,,
The Open Championship,,,17.0,-1.0,-3.0,3.0,-1.0,,,2019,The Open Championship,,
The Open Championship,,,18.0,-1.0,-1.0,,,,,2019,The Open Championship,,
The Open Championship,,,19.0,-2.0,1.0,-3.0,2.0,,,2019,The Open Championship,,
The Open Championship,,,20.0,-1.0,1.0,1.0,-2.0,,,2019,The Open Championship,,
The Open Championship,,,21.0,3.0,-3.0,,-1.0,,,2019,The Open Championship,,
The Open Championship,,,22.0,,,,-1.0,,,2019,The Open Championship,,
The Open Championship,,,23.0,1.0,-2.0,,,,,2019,The Open Championship,,
The Open Championship,,,24.0,,-2.0,-1.0,2.0,,,2019,The Open Championship,,
The Open Championship,,,25.0,-1.0,-3.0,1.0,2.0,,,2019,The Open Championship,,
The Open Championship,,,26.0,-1.0,-2.0,-3.0,5.0,,,2019,The Open Championship,,
The Open Championship,,,27.0,-1.0,-5.0,,5.0,,,2019,The Open Championship,,
The Open Championship,,,28.0,-1.0,-4.0,-2.0,6.0,,,2019,The Open Championship,,
The Open Championship,,,29.0,-2.0,-4.0,-3.0,8.0,,,2019,The Open Championship,,
The Open Championship,,,30.0,-1.0,,-1.0,2.0,,,2019,The Open Championship,,
The Open Championship,,,31.0,-3.0,,,3.0,,,2019,The Open Championship,,
The Open Championship,,,32.0,-3.0,2.0,6.0,-4.0,,,2019,The Open Championship,,
The Open Championship,,,33.0,3.0,-2.0,3.0,-3.0,,,2019,The Open Championship,,
The Open Championship,,,34.0,-1.0,,3.0,-1.0,,,2019,The Open Championship,,
The Open Championship,,,35.0,5.0,-4.0,,,,,2019,The Open Championship,,
The Open Championship,,,36.0,2.0,-2.0,,1.0,,,2019,The Open Championship,,
The Open Championship,,,37.0,,-2.0,1.0,2.0,,,2019,The Open Championship,,
The Open Championship,,,38.0,2.0,-4.0,-1.0,4.0,,,2019,The Open Championship,,
The Open Championship,,,39.0,-1.0,-4.0,-1.0,7.0,,,2019,The Open Championship,,
The Open Championship,,,40.0,-3.0,-2.0,-1.0,7.0,,,2019,The Open Championship,,
The Open Championship,,,41.0,-1.0,,4.0,-1.0,,,2019,The Open Championship,,
The Open Championship,,,42.0,4.0,-4.0,2.0,,,,2019,The Open Championship,,
The Open Championship,,,43.0,2.0,-2.0,2.0,,,,2019,The Open Championship,,
The Open Championship,,,44.0,1.0,,-1.0,2.0,,,2019,The Open Championship,,
The Open Championship,,,45.0,1.0,-2.0,,3.0,,,2019,The Open Championship,,
The Open Championship,,,46.0,-1.0,,,3.0,,,2019,The Open Championship,,
The Open Championship,,,47.0,,-6.0,3.0,5.0,,,2019,The Open Championship,,
The Open Championship,,,48.0,-1.0,,-3.0,6.0,,,2019,The Open Championship,,
The Open Championship,,,49.0,3.0,-6.0,-2.0,7.0,,,2019,The Open Championship,,
The Open Championship,,,50.0,-1.0,-3.0,-2.0,8.0,,,2019,The Open Championship,,
The Open Championship,,,51.0,-1.0,1.0,6.0,-3.0,,,2019,The Open Championship,,
