tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
The Players Championship,,,1.0,-6.0,-9.0,-4.0,1.0,,,2018,The Players Championship,,
The Players Championship,,,2.0,-3.0,-4.0,-2.0,-5.0,,,2018,The Players Championship,,
The Players Championship,,,3.0,-4.0,-4.0,-1.0,-5.0,,,2018,The Players Championship,,
The Players Championship,,,4.0,-4.0,-6.0,1.0,-5.0,,,2018,The Players Championship,,
The Players Championship,,,5.0,,-3.0,-6.0,-4.0,,,2018,The Players Championship,,
The Players Championship,,,6.0,-3.0,-5.0,-1.0,-4.0,,,2018,The Players Championship,,
The Players Championship,,,7.0,-3.0,-3.0,,-6.0,,,2018,The Players Championship,,
The Players Championship,,,8.0,-3.0,-1.0,-4.0,-4.0,,,2018,The Players Championship,,
The Players Championship,,,9.0,-1.0,-5.0,-2.0,-4.0,,,2018,The Players Championship,,
The Players Championship,,,10.0,-4.0,-6.0,-2.0,,,,2018,The Players Championship,,
The Players Championship,,,11.0,-2.0,-2.0,2.0,-9.0,,,2018,The Players Championship,,
The Players Championship,,,12.0,1.0,-2.0,-4.0,-6.0,,,2018,The Players Championship,,
The Players Championship,,,13.0,-6.0,-3.0,3.0,-5.0,,,2018,The Players Championship,,
The Players Championship,,,14.0,-3.0,-4.0,,-4.0,,,2018,The Players Championship,,
The Players Championship,,,15.0,,-1.0,-7.0,-3.0,,,2018,The Players Championship,,
The Players Championship,,,16.0,-2.0,-3.0,-3.0,-3.0,,,2018,The Players Championship,,
The Players Championship,,,17.0,-6.0,-3.0,5.0,-6.0,,,2018,The Players Championship,,
The Players Championship,,,18.0,4.0,-5.0,-4.0,-5.0,,,2018,The Players Championship,,
The Players Championship,,,19.0,-1.0,-1.0,-5.0,-3.0,,,2018,The Players Championship,,
The Players Championship,,,20.0,-4.0,-5.0,2.0,-3.0,,,2018,The Players Championship,,
The Players Championship,,,21.0,-6.0,-1.0,-1.0,-2.0,,,2018,The Players Championship,,
The Players Championship,,,22.0,-6.0,-1.0,-3.0,,,,2018,The Players Championship,,
The Players Championship,,,23.0,-4.0,,1.0,-6.0,,,2018,The Players Championship,,
The Players Championship,,,24.0,2.0,-5.0,-3.0,-3.0,,,2018,The Players Championship,,
The Players Championship,,,25.0,-2.0,-1.0,-3.0,-3.0,,,2018,The Players Championship,,
The Players Championship,,,26.0,-2.0,-1.0,-4.0,-2.0,,,2018,The Players Championship,,
The Players Championship,,,27.0,-4.0,-2.0,-1.0,-2.0,,,2018,The Players Championship,,
The Players Championship,,,28.0,-5.0,-3.0,1.0,-2.0,,,2018,The Players Championship,,
The Players Championship,,,29.0,-6.0,-4.0,2.0,-1.0,,,2018,The Players Championship,,
The Players Championship,,,30.0,-1.0,-2.0,1.0,-6.0,,,2018,The Players Championship,,
The Players Championship,,,31.0,-1.0,-1.0,-1.0,-5.0,,,2018,The Players Championship,,
The Players Championship,,,32.0,-1.0,-1.0,-3.0,-3.0,,,2018,The Players Championship,,
The Players Championship,,,33.0,-4.0,-1.0,,-3.0,,,2018,The Players Championship,,
The Players Championship,,,34.0,-1.0,-2.0,-3.0,-2.0,,,2018,The Players Championship,,
The Players Championship,,,35.0,,-4.0,-3.0,-1.0,,,2018,The Players Championship,,
The Players Championship,,,36.0,-5.0,-1.0,-1.0,-1.0,,,2018,The Players Championship,,
The Players Championship,,,37.0,-2.0,,,-5.0,,,2018,The Players Championship,,
The Players Championship,,,38.0,-3.0,-1.0,,-3.0,,,2018,The Players Championship,,
The Players Championship,,,39.0,-4.0,-2.0,1.0,-2.0,,,2018,The Players Championship,,
The Players Championship,,,40.0,-2.0,-5.0,1.0,-1.0,,,2018,The Players Championship,,
The Players Championship,,,41.0,-2.0,-2.0,,-2.0,,,2018,The Players Championship,,
The Players Championship,,,42.0,-3.0,-3.0,1.0,-1.0,,,2018,The Players Championship,,
The Players Championship,,,43.0,,-4.0,-2.0,,,,2018,The Players Championship,,
The Players Championship,,,44.0,-5.0,,-2.0,1.0,,,2018,The Players Championship,,
The Players Championship,,,45.0,3.0,-4.0,-7.0,2.0,,,2018,The Players Championship,,
The Players Championship,,,46.0,-2.0,,,-3.0,,,2018,The Players Championship,,
The Players Championship,,,47.0,-4.0,-2.0,4.0,-3.0,,,2018,The Players Championship,,
The Players Championship,,,48.0,,-2.0,-1.0,-2.0,,,2018,The Players Championship,,
The Players Championship,,,49.0,-3.0,-1.0,1.0,-2.0,,,2018,The Players Championship,,
The Players Championship,,,50.0,3.0,-4.0,-3.0,-1.0,,,2018,The Players Championship,,
The Players Championship,,,51.0,,-2.0,-2.0,-1.0,,,2018,The Players Championship,,
The Players Championship,,,52.0,,-3.0,-1.0,-1.0,,,2018,The Players Championship,,
The Players Championship,,,53.0,-3.0,-1.0,,-1.0,,,2018,The Players Championship,,
The Players Championship,,,54.0,-2.0,-2.0,,-1.0,,,2018,The Players Championship,,
The Players Championship,,,55.0,-2.0,-3.0,1.0,-1.0,,,2018,The Players Championship,,
The Players Championship,,,56.0,-2.0,-1.0,-2.0,,,,2018,The Players Championship,,
The Players Championship,,,57.0,2.0,-4.0,,-2.0,,,2018,The Players Championship,,
The Players Championship,,,58.0,,-1.0,-2.0,-1.0,,,2018,The Players Championship,,
The Players Championship,,,59.0,-2.0,,-1.0,-1.0,,,2018,The Players Championship,,
The Players Championship,,,60.0,-4.0,-1.0,1.0,,,,2018,The Players Championship,,
