tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
The RSM Classic,,,1.0,1.0,-6.0,-8.0,-6.0,,,2023,The RSM Classic,,
The RSM Classic,,,2.0,-6.0,-4.0,-1.0,-6.0,,,2023,The RSM Classic,,
The RSM Classic,,,3.0,-5.0,-1.0,-6.0,-5.0,,,2023,The RSM Classic,,
The RSM Classic,,,4.0,-4.0,-7.0,-2.0,-4.0,,,2023,The RSM Classic,,
The RSM Classic,,,5.0,-3.0,-8.0,2.0,-6.0,,,2023,The RSM Classic,,
The RSM Classic,,,6.0,-2.0,-4.0,-4.0,-5.0,,,2023,The RSM Classic,,
The RSM Classic,,,7.0,-8.0,-4.0,2.0,-5.0,,,2023,The RSM Classic,,
The RSM Classic,,,8.0,-4.0,-4.0,-3.0,-4.0,,,2023,The RSM Classic,,
The RSM Classic,,,9.0,-5.0,-4.0,-3.0,-3.0,,,2023,The RSM Classic,,
The RSM Classic,,,10.0,-2.0,-2.0,-5.0,-5.0,,,2023,The RSM Classic,,
The RSM Classic,,,11.0,-2.0,-3.0,-5.0,-4.0,,,2023,The RSM Classic,,
The RSM Classic,,,12.0,1.0,-7.0,-4.0,-4.0,,,2023,The RSM Classic,,
The RSM Classic,,,13.0,-5.0,-5.0,,-4.0,,,2023,The RSM Classic,,
The RSM Classic,,,14.0,-3.0,-5.0,-6.0,,,,2023,The RSM Classic,,
The RSM Classic,,,15.0,-4.0,-3.0,,-6.0,,,2023,The RSM Classic,,
The RSM Classic,,,16.0,-3.0,-4.0,-1.0,-5.0,,,2023,The RSM Classic,,
The RSM Classic,,,17.0,-2.0,-8.0,,-3.0,,,2023,The RSM Classic,,
The RSM Classic,,,18.0,-1.0,-8.0,-2.0,-2.0,,,2023,The RSM Classic,,
The RSM Classic,,,19.0,-3.0,-4.0,-5.0,-1.0,,,2023,The RSM Classic,,
The RSM Classic,,,20.0,-1.0,-6.0,-5.0,-1.0,,,2023,The RSM Classic,,
The RSM Classic,,,21.0,,-5.0,-4.0,-3.0,,,2023,The RSM Classic,,
The RSM Classic,,,22.0,-5.0,,-4.0,-3.0,,,2023,The RSM Classic,,
The RSM Classic,,,23.0,,-6.0,-4.0,-2.0,,,2023,The RSM Classic,,
The RSM Classic,,,24.0,-1.0,-5.0,-5.0,-1.0,,,2023,The RSM Classic,,
The RSM Classic,,,25.0,-6.0,-5.0,-1.0,,,,2023,The RSM Classic,,
The RSM Classic,,,26.0,-5.0,-7.0,,,,,2023,The RSM Classic,,
The RSM Classic,,,27.0,-5.0,-7.0,-1.0,1.0,,,2023,The RSM Classic,,
The RSM Classic,,,28.0,-1.0,-8.0,-5.0,2.0,,,2023,The RSM Classic,,
The RSM Classic,,,29.0,-4.0,-2.0,,-5.0,,,2023,The RSM Classic,,
The RSM Classic,,,30.0,-2.0,-3.0,-3.0,-3.0,,,2023,The RSM Classic,,
The RSM Classic,,,31.0,-3.0,-3.0,-2.0,-3.0,,,2023,The RSM Classic,,
The RSM Classic,,,32.0,-7.0,1.0,-3.0,-2.0,,,2023,The RSM Classic,,
The RSM Classic,,,33.0,-4.0,-3.0,-3.0,-1.0,,,2023,The RSM Classic,,
The RSM Classic,,,34.0,-2.0,-5.0,-3.0,-1.0,,,2023,The RSM Classic,,
The RSM Classic,,,35.0,-3.0,-3.0,-1.0,-3.0,,,2023,The RSM Classic,,
The RSM Classic,,,36.0,-3.0,-4.0,,-3.0,,,2023,The RSM Classic,,
The RSM Classic,,,37.0,-5.0,-4.0,1.0,-2.0,,,2023,The RSM Classic,,
The RSM Classic,,,38.0,-4.0,-6.0,-2.0,2.0,,,2023,The RSM Classic,,
The RSM Classic,,,39.0,-2.0,-2.0,-1.0,-4.0,,,2023,The RSM Classic,,
The RSM Classic,,,40.0,-3.0,-2.0,,-4.0,,,2023,The RSM Classic,,
The RSM Classic,,,41.0,-5.0,-1.0,,-3.0,,,2023,The RSM Classic,,
The RSM Classic,,,42.0,-3.0,-2.0,-2.0,-2.0,,,2023,The RSM Classic,,
The RSM Classic,,,43.0,-5.0,-2.0,-1.0,-1.0,,,2023,The RSM Classic,,
The RSM Classic,,,44.0,-3.0,-4.0,-1.0,-1.0,,,2023,The RSM Classic,,
The RSM Classic,,,45.0,3.0,-9.0,-1.0,-1.0,,,2023,The RSM Classic,,
The RSM Classic,,,46.0,-2.0,-3.0,3.0,-5.0,,,2023,The RSM Classic,,
The RSM Classic,,,47.0,-2.0,-2.0,,-3.0,,,2023,The RSM Classic,,
The RSM Classic,,,48.0,-5.0,,1.0,-3.0,,,2023,The RSM Classic,,
The RSM Classic,,,49.0,2.0,-7.0,,-2.0,,,2023,The RSM Classic,,
The RSM Classic,,,50.0,-2.0,-3.0,-1.0,-1.0,,,2023,The RSM Classic,,
The RSM Classic,,,51.0,-4.0,-1.0,-1.0,-1.0,,,2023,The RSM Classic,,
The RSM Classic,,,52.0,-3.0,-2.0,-2.0,,,,2023,The RSM Classic,,
The RSM Classic,,,53.0,-4.0,-2.0,-2.0,1.0,,,2023,The RSM Classic,,
The RSM Classic,,,54.0,-1.0,-3.0,1.0,-3.0,,,2023,The RSM Classic,,
The RSM Classic,,,55.0,-3.0,-3.0,3.0,-3.0,,,2023,The RSM Classic,,
The RSM Classic,,,56.0,2.0,-6.0,-1.0,-1.0,,,2023,The RSM Classic,,
The RSM Classic,,,57.0,-2.0,-2.0,-3.0,1.0,,,2023,The RSM Classic,,
The RSM Classic,,,58.0,-1.0,-4.0,-2.0,1.0,,,2023,The RSM Classic,,
The RSM Classic,,,59.0,-4.0,-4.0,1.0,1.0,,,2023,The RSM Classic,,
The RSM Classic,,,60.0,-2.0,-3.0,-3.0,2.0,,,2023,The RSM Classic,,
The RSM Classic,,,61.0,,-6.0,-3.0,3.0,,,2023,The RSM Classic,,
The RSM Classic,,,62.0,-4.0,-1.0,,,,,2023,The RSM Classic,,
The RSM Classic,,,63.0,,-4.0,-2.0,1.0,,,2023,The RSM Classic,,
The RSM Classic,,,64.0,,-4.0,3.0,-3.0,,,2023,The RSM Classic,,
The RSM Classic,,,65.0,-4.0,-1.0,2.0,-1.0,,,2023,The RSM Classic,,
The RSM Classic,,,66.0,-6.0,-2.0,,5.0,,,2023,The RSM Classic,,
The RSM Classic,,,67.0,3.0,-7.0,2.0,1.0,,,2023,The RSM Classic,,
The RSM Classic,,,68.0,-3.0,-3.0,1.0,4.0,,,2023,The RSM Classic,,
The RSM Classic,,,69.0,,-4.0,,5.0,,,2023,The RSM Classic,,
The RSM Classic,,,70.0,2.0,-5.0,,,,,2023,The RSM Classic,,
The RSM Classic,,,71.0,1.0,-4.0,,,,,2023,The RSM Classic,,
The RSM Classic,,,72.0,1.0,-4.0,,,,,2023,The RSM Classic,,
The RSM Classic,,,73.0,,-3.0,,,,,2023,The RSM Classic,,
The RSM Classic,,,74.0,,-3.0,,,,,2023,The RSM Classic,,
The RSM Classic,,,75.0,,-3.0,,,,,2023,The RSM Classic,,
The RSM Classic,,,76.0,,-3.0,,,,,2023,The RSM Classic,,
The RSM Classic,,,77.0,,-3.0,,,,,2023,The RSM Classic,,
The RSM Classic,,,78.0,,-3.0,,,,,2023,The RSM Classic,,
The RSM Classic,,,79.0,,-3.0,,,,,2023,The RSM Classic,,
The RSM Classic,,,80.0,,-3.0,,,,,2023,The RSM Classic,,
The RSM Classic,,,81.0,-1.0,-2.0,,,,,2023,The RSM Classic,,
