tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
The Sentry,,,1.0,-6.0,-8.0,-7.0,-8.0,,,2024,The Sentry,,
The Sentry,,,2.0,-9.0,-4.0,-5.0,-10.0,,,2024,The Sentry,,
The Sentry,,,3.0,-7.0,-6.0,-6.0,-8.0,,,2024,The Sentry,,
The Sentry,,,4.0,-5.0,-9.0,-5.0,-7.0,,,2024,The Sentry,,
The Sentry,,,5.0,-8.0,-7.0,,-10.0,,,2024,The Sentry,,
The Sentry,,,6.0,-6.0,-7.0,-3.0,-9.0,,,2024,The Sentry,,
The Sentry,,,7.0,-5.0,-5.0,-7.0,-8.0,,,2024,The Sentry,,
The Sentry,,,8.0,-8.0,-6.0,-3.0,-8.0,,,2024,The Sentry,,
The Sentry,,,9.0,-7.0,-9.0,-2.0,-7.0,,,2024,The Sentry,,
The Sentry,,,10.0,-8.0,-4.0,-6.0,-6.0,,,2024,The Sentry,,
The Sentry,,,11.0,-7.0,-4.0,-8.0,-5.0,,,2024,The Sentry,,
The Sentry,,,12.0,-6.0,-7.0,-3.0,-7.0,,,2024,The Sentry,,
The Sentry,,,13.0,-7.0,-5.0,-5.0,-6.0,,,2024,The Sentry,,
The Sentry,,,14.0,-3.0,-7.0,-3.0,-9.0,,,2024,The Sentry,,
The Sentry,,,15.0,-3.0,-7.0,-4.0,-8.0,,,2024,The Sentry,,
The Sentry,,,16.0,-6.0,-4.0,-5.0,-7.0,,,2024,The Sentry,,
The Sentry,,,17.0,-4.0,-8.0,-3.0,-7.0,,,2024,The Sentry,,
The Sentry,,,18.0,-4.0,-11.0,-1.0,-6.0,,,2024,The Sentry,,
The Sentry,,,19.0,-4.0,-9.0,-4.0,-5.0,,,2024,The Sentry,,
The Sentry,,,20.0,-2.0,-7.0,-9.0,-4.0,,,2024,The Sentry,,
The Sentry,,,21.0,-4.0,-9.0,-7.0,-2.0,,,2024,The Sentry,,
The Sentry,,,22.0,-1.0,-8.0,-4.0,-8.0,,,2024,The Sentry,,
The Sentry,,,23.0,-6.0,-3.0,-5.0,-7.0,,,2024,The Sentry,,
The Sentry,,,24.0,-8.0,-6.0,-1.0,-6.0,,,2024,The Sentry,,
The Sentry,,,25.0,-5.0,-3.0,-3.0,-9.0,,,2024,The Sentry,,
The Sentry,,,26.0,-2.0,-8.0,-3.0,-7.0,,,2024,The Sentry,,
The Sentry,,,27.0,-3.0,-7.0,-3.0,-7.0,,,2024,The Sentry,,
The Sentry,,,28.0,-3.0,-6.0,-5.0,-6.0,,,2024,The Sentry,,
The Sentry,,,29.0,-2.0,-5.0,-2.0,-10.0,,,2024,The Sentry,,
The Sentry,,,30.0,-1.0,-9.0,-2.0,-7.0,,,2024,The Sentry,,
The Sentry,,,31.0,-1.0,-7.0,-5.0,-6.0,,,2024,The Sentry,,
The Sentry,,,32.0,-4.0,-8.0,-3.0,-4.0,,,2024,The Sentry,,
The Sentry,,,33.0,-5.0,-6.0,1.0,-8.0,,,2024,The Sentry,,
The Sentry,,,34.0,-4.0,-3.0,-5.0,-6.0,,,2024,The Sentry,,
The Sentry,,,35.0,-3.0,-5.0,-5.0,-5.0,,,2024,The Sentry,,
The Sentry,,,36.0,-4.0,-5.0,-5.0,-4.0,,,2024,The Sentry,,
The Sentry,,,37.0,-6.0,-9.0,,-3.0,,,2024,The Sentry,,
The Sentry,,,38.0,-6.0,-4.0,-2.0,-5.0,,,2024,The Sentry,,
The Sentry,,,39.0,-4.0,-7.0,-2.0,-4.0,,,2024,The Sentry,,
The Sentry,,,40.0,-2.0,-4.0,2.0,-12.0,,,2024,The Sentry,,
The Sentry,,,41.0,1.0,-2.0,-6.0,-9.0,,,2024,The Sentry,,
The Sentry,,,42.0,-5.0,-3.0,-4.0,-4.0,,,2024,The Sentry,,
The Sentry,,,43.0,-3.0,-4.0,-2.0,-6.0,,,2024,The Sentry,,
The Sentry,,,44.0,-7.0,-5.0,-1.0,-2.0,,,2024,The Sentry,,
The Sentry,,,45.0,-5.0,-3.0,1.0,-7.0,,,2024,The Sentry,,
The Sentry,,,46.0,-4.0,-3.0,-1.0,-6.0,,,2024,The Sentry,,
The Sentry,,,47.0,-4.0,-3.0,4.0,-10.0,,,2024,The Sentry,,
The Sentry,,,48.0,-2.0,-6.0,2.0,-7.0,,,2024,The Sentry,,
The Sentry,,,49.0,-3.0,-3.0,-4.0,-3.0,,,2024,The Sentry,,
The Sentry,,,50.0,-2.0,-2.0,-2.0,-6.0,,,2024,The Sentry,,
The Sentry,,,51.0,-8.0,-2.0,1.0,-3.0,,,2024,The Sentry,,
The Sentry,,,52.0,-3.0,-2.0,3.0,-9.0,,,2024,The Sentry,,
The Sentry,,,53.0,2.0,-5.0,,-8.0,,,2024,The Sentry,,
The Sentry,,,54.0,-4.0,-1.0,-1.0,-5.0,,,2024,The Sentry,,
The Sentry,,,55.0,-4.0,-4.0,,-3.0,,,2024,The Sentry,,
The Sentry,,,56.0,-3.0,-6.0,2.0,-3.0,,,2024,The Sentry,,
The Sentry,,,57.0,-1.0,-8.0,4.0,-4.0,,,2024,The Sentry,,
The Sentry,,,58.0,-2.0,-5.0,3.0,-4.0,,,2024,The Sentry,,
The Sentry,,,59.0,,-3.0,1.0,-4.0,,,2024,The Sentry,,
