tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Tour Championship,,,1.0,-4.0,-3.0,-2.0,-4.0,,,2019,Tour Championship,,
Tour Championship,,,2.0,-6.0,-1.0,-3.0,,,,2019,Tour Championship,,
Tour Championship,,,3.0,,-2.0,1.0,-2.0,,,2019,Tour Championship,,
Tour Championship,,,4.0,-3.0,-3.0,-2.0,2.0,,,2019,Tour Championship,,
Tour Championship,,,5.0,-4.0,-3.0,-2.0,2.0,,,2019,Tour Championship,,
Tour Championship,,,6.0,-2.0,,1.0,-4.0,,,2019,Tour Championship,,
Tour Championship,,,7.0,,-1.0,,-3.0,,,2019,Tour Championship,,
Tour Championship,,,8.0,1.0,-6.0,,,,,2019,Tour Championship,,
Tour Championship,,,9.0,1.0,,-2.0,-2.0,,,2019,Tour Championship,,
Tour Championship,,,10.0,,,3.0,-2.0,,,2019,Tour Championship,,
Tour Championship,,,11.0,-4.0,5.0,-4.0,1.0,,,2019,Tour Championship,,
Tour Championship,,,12.0,-2.0,1.0,-3.0,,,,2019,Tour Championship,,
Tour Championship,,,13.0,-2.0,2.0,-2.0,2.0,,,2019,Tour Championship,,
Tour Championship,,,14.0,1.0,-3.0,2.0,-3.0,,,2019,Tour Championship,,
Tour Championship,,,15.0,-2.0,3.0,-1.0,1.0,,,2019,Tour Championship,,
Tour Championship,,,16.0,-1.0,,1.0,,,,2019,Tour Championship,,
Tour Championship,,,17.0,4.0,,-2.0,1.0,,,2019,Tour Championship,,
Tour Championship,,,18.0,-4.0,2.0,1.0,4.0,,,2019,Tour Championship,,
Tour Championship,,,19.0,1.0,1.0,,,,,2019,Tour Championship,,
Tour Championship,,,20.0,-3.0,1.0,3.0,,,,2019,Tour Championship,,
Tour Championship,,,21.0,,1.0,,,,,2019,Tour Championship,,
Tour Championship,,,22.0,2.0,-1.0,2.0,2.0,,,2019,Tour Championship,,
Tour Championship,,,23.0,,1.0,5.0,3.0,,,2019,Tour Championship,,
Tour Championship,,,24.0,1.0,3.0,2.0,-3.0,,,2019,Tour Championship,,
Tour Championship,,,25.0,3.0,2.0,-3.0,2.0,,,2019,Tour Championship,,
Tour Championship,,,26.0,-2.0,4.0,1.0,2.0,,,2019,Tour Championship,,
Tour Championship,,,27.0,-2.0,1.0,1.0,4.0,,,2019,Tour Championship,,
Tour Championship,,,28.0,-2.0,3.0,1.0,2.0,,,2019,Tour Championship,,
Tour Championship,,,29.0,3.0,5.0,,2.0,,,2019,Tour Championship,,
Tour Championship,,,30.0,3.0,2.0,5.0,3.0,,,2019,Tour Championship,,
