tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Travelers Championship,,,1.0,-5.0,-4.0,-7.0,-1.0,,,2019,Travelers Championship,,
Travelers Championship,,,2.0,-5.0,-4.0,-1.0,-3.0,,,2019,Travelers Championship,,
Travelers Championship,,,3.0,-6.0,-5.0,1.0,-3.0,,,2019,Travelers Championship,,
Travelers Championship,,,4.0,-2.0,-4.0,-1.0,-5.0,,,2019,Travelers Championship,,
Travelers Championship,,,5.0,-5.0,-2.0,1.0,-5.0,,,2019,Travelers Championship,,
Travelers Championship,,,6.0,-1.0,-5.0,-1.0,-4.0,,,2019,Travelers Championship,,
Travelers Championship,,,7.0,-2.0,-2.0,-4.0,-3.0,,,2019,Travelers Championship,,
Travelers Championship,,,8.0,-6.0,3.0,,-7.0,,,2019,Travelers Championship,,
Travelers Championship,,,9.0,2.0,-4.0,-4.0,-4.0,,,2019,Travelers Championship,,
Travelers Championship,,,10.0,-2.0,,-6.0,-2.0,,,2019,Travelers Championship,,
Travelers Championship,,,11.0,-1.0,-5.0,-3.0,-1.0,,,2019,Travelers Championship,,
Travelers Championship,,,12.0,,-7.0,-2.0,-1.0,,,2019,Travelers Championship,,
Travelers Championship,,,13.0,-6.0,2.0,-3.0,-2.0,,,2019,Travelers Championship,,
Travelers Championship,,,14.0,-4.0,-1.0,-3.0,-1.0,,,2019,Travelers Championship,,
Travelers Championship,,,15.0,-1.0,-5.0,1.0,-3.0,,,2019,Travelers Championship,,
Travelers Championship,,,16.0,-2.0,-6.0,2.0,-2.0,,,2019,Travelers Championship,,
Travelers Championship,,,17.0,-4.0,2.0,-5.0,-1.0,,,2019,Travelers Championship,,
Travelers Championship,,,18.0,-2.0,-3.0,-2.0,-1.0,,,2019,Travelers Championship,,
Travelers Championship,,,19.0,-3.0,-3.0,-1.0,-1.0,,,2019,Travelers Championship,,
Travelers Championship,,,20.0,-2.0,-2.0,-2.0,-1.0,,,2019,Travelers Championship,,
Travelers Championship,,,21.0,-1.0,-1.0,1.0,-5.0,,,2019,Travelers Championship,,
Travelers Championship,,,22.0,-2.0,-1.0,1.0,-4.0,,,2019,Travelers Championship,,
Travelers Championship,,,23.0,-1.0,-4.0,2.0,-3.0,,,2019,Travelers Championship,,
Travelers Championship,,,24.0,1.0,-3.0,-2.0,-2.0,,,2019,Travelers Championship,,
Travelers Championship,,,25.0,-4.0,,,-2.0,,,2019,Travelers Championship,,
Travelers Championship,,,26.0,-1.0,-1.0,-3.0,-1.0,,,2019,Travelers Championship,,
Travelers Championship,,,27.0,-5.0,-2.0,1.0,,,,2019,Travelers Championship,,
Travelers Championship,,,28.0,-4.0,-3.0,,1.0,,,2019,Travelers Championship,,
Travelers Championship,,,29.0,-3.0,-3.0,-2.0,2.0,,,2019,Travelers Championship,,
Travelers Championship,,,30.0,,-2.0,,-3.0,,,2019,Travelers Championship,,
