tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Truist Championship,,,1.0,-7.0,-3.0,-4.0,-2.0,,,2025,Truist Championship,,
Truist Championship,,,2.0,-4.0,-3.0,-4.0,-3.0,,,2025,Truist Championship,,
Truist Championship,,,3.0,-6.0,-5.0,-3.0,,,,2025,Truist Championship,,
Truist Championship,,,4.0,1.0,-3.0,-5.0,-5.0,,,2025,Truist Championship,,
Truist Championship,,,5.0,-2.0,-2.0,-3.0,-5.0,,,2025,Truist Championship,,
Truist Championship,,,6.0,-5.0,-2.0,,-5.0,,,2025,Truist Championship,,
Truist Championship,,,7.0,-4.0,,-2.0,-4.0,,,2025,Truist Championship,,
Truist Championship,,,8.0,-5.0,-1.0,,-4.0,,,2025,Truist Championship,,
Truist Championship,,,9.0,-4.0,-3.0,-1.0,-2.0,,,2025,Truist Championship,,
Truist Championship,,,10.0,-9.0,-3.0,1.0,1.0,,,2025,Truist Championship,,
Truist Championship,,,11.0,-2.0,-1.0,-2.0,-4.0,,,2025,Truist Championship,,
Truist Championship,,,12.0,-3.0,-1.0,-1.0,-4.0,,,2025,Truist Championship,,
Truist Championship,,,13.0,-3.0,1.0,-4.0,-3.0,,,2025,Truist Championship,,
Truist Championship,,,14.0,-5.0,,-2.0,-2.0,,,2025,Truist Championship,,
Truist Championship,,,15.0,-7.0,1.0,-1.0,-1.0,,,2025,Truist Championship,,
Truist Championship,,,16.0,-5.0,,-3.0,,,,2025,Truist Championship,,
Truist Championship,,,17.0,-4.0,1.0,2.0,-6.0,,,2025,Truist Championship,,
Truist Championship,,,18.0,-3.0,,-1.0,-3.0,,,2025,Truist Championship,,
Truist Championship,,,19.0,-7.0,,2.0,-2.0,,,2025,Truist Championship,,
Truist Championship,,,20.0,-5.0,-2.0,1.0,-1.0,,,2025,Truist Championship,,
Truist Championship,,,21.0,-3.0,-2.0,-3.0,1.0,,,2025,Truist Championship,,
Truist Championship,,,22.0,-5.0,2.0,-7.0,3.0,,,2025,Truist Championship,,
Truist Championship,,,23.0,-5.0,2.0,1.0,-4.0,,,2025,Truist Championship,,
Truist Championship,,,24.0,-5.0,2.0,,-3.0,,,2025,Truist Championship,,
Truist Championship,,,25.0,-4.0,,1.0,-3.0,,,2025,Truist Championship,,
Truist Championship,,,26.0,-2.0,,-2.0,-2.0,,,2025,Truist Championship,,
Truist Championship,,,27.0,-6.0,1.0,-1.0,,,,2025,Truist Championship,,
Truist Championship,,,28.0,-5.0,,-1.0,,,,2025,Truist Championship,,
Truist Championship,,,29.0,-1.0,-4.0,-3.0,2.0,,,2025,Truist Championship,,
Truist Championship,,,30.0,-5.0,-1.0,3.0,-2.0,,,2025,Truist Championship,,
Truist Championship,,,31.0,-6.0,2.0,-2.0,1.0,,,2025,Truist Championship,,
Truist Championship,,,32.0,-4.0,-2.0,,1.0,,,2025,Truist Championship,,
Truist Championship,,,33.0,-5.0,,-3.0,3.0,,,2025,Truist Championship,,
Truist Championship,,,34.0,-1.0,-2.0,2.0,-3.0,,,2025,Truist Championship,,
Truist Championship,,,35.0,-3.0,2.0,-1.0,-2.0,,,2025,Truist Championship,,
Truist Championship,,,36.0,-2.0,,,-2.0,,,2025,Truist Championship,,
Truist Championship,,,37.0,-5.0,,3.0,-2.0,,,2025,Truist Championship,,
Truist Championship,,,38.0,,-2.0,-2.0,,,,2025,Truist Championship,,
Truist Championship,,,39.0,-3.0,1.0,-2.0,,,,2025,Truist Championship,,
Truist Championship,,,40.0,-2.0,-4.0,2.0,,,,2025,Truist Championship,,
Truist Championship,,,41.0,-5.0,1.0,-2.0,2.0,,,2025,Truist Championship,,
Truist Championship,,,42.0,-2.0,3.0,1.0,-5.0,,,2025,Truist Championship,,
Truist Championship,,,43.0,-3.0,1.0,1.0,-2.0,,,2025,Truist Championship,,
Truist Championship,,,44.0,-1.0,1.0,-2.0,-1.0,,,2025,Truist Championship,,
Truist Championship,,,45.0,,-1.0,-1.0,-1.0,,,2025,Truist Championship,,
Truist Championship,,,46.0,-5.0,4.0,2.0,-3.0,,,2025,Truist Championship,,
Truist Championship,,,47.0,-1.0,,2.0,-3.0,,,2025,Truist Championship,,
Truist Championship,,,48.0,-8.0,3.0,4.0,-1.0,,,2025,Truist Championship,,
Truist Championship,,,49.0,-4.0,,2.0,,,,2025,Truist Championship,,
Truist Championship,,,50.0,-7.0,,1.0,4.0,,,2025,Truist Championship,,
Truist Championship,,,51.0,-3.0,2.0,2.0,-2.0,,,2025,Truist Championship,,
Truist Championship,,,52.0,-1.0,-2.0,2.0,,,,2025,Truist Championship,,
Truist Championship,,,53.0,-3.0,-2.0,2.0,2.0,,,2025,Truist Championship,,
Truist Championship,,,54.0,-2.0,3.0,2.0,-3.0,,,2025,Truist Championship,,
Truist Championship,,,55.0,-3.0,3.0,3.0,-3.0,,,2025,Truist Championship,,
Truist Championship,,,56.0,-1.0,,1.0,,,,2025,Truist Championship,,
Truist Championship,,,57.0,-1.0,-1.0,2.0,,,,2025,Truist Championship,,
Truist Championship,,,58.0,-4.0,5.0,-2.0,1.0,,,2025,Truist Championship,,
Truist Championship,,,59.0,-1.0,-1.0,,2.0,,,2025,Truist Championship,,
Truist Championship,,,60.0,1.0,-1.0,2.0,-1.0,,,2025,Truist Championship,,
Truist Championship,,,61.0,-4.0,1.0,5.0,-1.0,,,2025,Truist Championship,,
Truist Championship,,,62.0,-2.0,-1.0,2.0,2.0,,,2025,Truist Championship,,
Truist Championship,,,63.0,-1.0,3.0,,,,,2025,Truist Championship,,
Truist Championship,,,64.0,-2.0,3.0,-1.0,2.0,,,2025,Truist Championship,,
Truist Championship,,,65.0,-4.0,,6.0,1.0,,,2025,Truist Championship,,
Truist Championship,,,66.0,2.0,,,2.0,,,2025,Truist Championship,,
Truist Championship,,,67.0,-6.0,4.0,1.0,5.0,,,2025,Truist Championship,,
Truist Championship,,,68.0,-2.0,,7.0,1.0,,,2025,Truist Championship,,
Truist Championship,,,69.0,2.0,-4.0,2.0,8.0,,,2025,Truist Championship,,
Truist Championship,,,70.0,2.0,2.0,3.0,,,,2025,Truist Championship,,
Truist Championship,,,71.0,-1.0,1.0,8.0,,,,2025,Truist Championship,,
Truist Championship,,,72.0,,7.0,,,,,2025,Truist Championship,,
Truist Championship,,,1.0,-7.0,-3.0,-4.0,-2.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,2.0,-4.0,-3.0,-4.0,-3.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,3.0,-6.0,-5.0,-3.0,,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,4.0,1.0,-3.0,-5.0,-5.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,5.0,-2.0,-2.0,-3.0,-5.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,6.0,-5.0,-2.0,,-5.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,7.0,-4.0,,-2.0,-4.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,8.0,-5.0,-1.0,,-4.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,9.0,-4.0,-3.0,-1.0,-2.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,10.0,-9.0,-3.0,1.0,1.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,11.0,-2.0,-1.0,-2.0,-4.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,12.0,-3.0,-1.0,-1.0,-4.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,13.0,-3.0,1.0,-4.0,-3.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,14.0,-5.0,,-2.0,-2.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,15.0,-7.0,1.0,-1.0,-1.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,16.0,-5.0,,-3.0,,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,17.0,-4.0,1.0,2.0,-6.0,,,2025,ONEflight Myrtle Beach Classic,,
Truist Championship,,,18.0,-3.0,,-1.0,-3.0,,,2025,ONEflight Myrtle Beach Classic,,
