tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Valspar Championship,,,1.0,,-4.0,-2.0,-4.0,,,2023,Valspar Championship,,
Valspar Championship,,,2.0,-5.0,-2.0,-1.0,-1.0,,,2023,Valspar Championship,,
Valspar Championship,,,3.0,-3.0,-2.0,-2.0,-1.0,,,2023,Valspar Championship,,
Valspar Championship,,,4.0,-4.0,-1.0,-2.0,-1.0,,,2023,Valspar Championship,,
Valspar Championship,,,5.0,1.0,-5.0,-1.0,-1.0,,,2023,Valspar Championship,,
Valspar Championship,,,6.0,-2.0,2.0,-1.0,-4.0,,,2023,Valspar Championship,,
Valspar Championship,,,7.0,,-4.0,-1.0,1.0,,,2023,Valspar Championship,,
Valspar Championship,,,8.0,,-3.0,-3.0,2.0,,,2023,Valspar Championship,,
Valspar Championship,,,9.0,1.0,-6.0,-1.0,2.0,,,2023,Valspar Championship,,
Valspar Championship,,,10.0,-1.0,2.0,,-4.0,,,2023,Valspar Championship,,
Valspar Championship,,,11.0,1.0,-1.0,-2.0,-1.0,,,2023,Valspar Championship,,
Valspar Championship,,,12.0,-2.0,-1.0,1.0,-1.0,,,2023,Valspar Championship,,
Valspar Championship,,,13.0,,-1.0,-3.0,1.0,,,2023,Valspar Championship,,
Valspar Championship,,,14.0,-1.0,-3.0,,1.0,,,2023,Valspar Championship,,
Valspar Championship,,,15.0,-3.0,2.0,-4.0,2.0,,,2023,Valspar Championship,,
Valspar Championship,,,16.0,1.0,,-2.0,-1.0,,,2023,Valspar Championship,,
Valspar Championship,,,17.0,3.0,-6.0,2.0,-1.0,,,2023,Valspar Championship,,
Valspar Championship,,,18.0,3.0,-2.0,-3.0,,,,2023,Valspar Championship,,
Valspar Championship,,,19.0,3.0,-3.0,4.0,-5.0,,,2023,Valspar Championship,,
Valspar Championship,,,20.0,-2.0,3.0,,-2.0,,,2023,Valspar Championship,,
Valspar Championship,,,21.0,1.0,-2.0,1.0,-1.0,,,2023,Valspar Championship,,
Valspar Championship,,,22.0,1.0,,-2.0,,,,2023,Valspar Championship,,
Valspar Championship,,,23.0,,1.0,-3.0,1.0,,,2023,Valspar Championship,,
Valspar Championship,,,24.0,,-3.0,,2.0,,,2023,Valspar Championship,,
Valspar Championship,,,25.0,3.0,-5.0,-2.0,3.0,,,2023,Valspar Championship,,
Valspar Championship,,,26.0,-2.0,-3.0,1.0,3.0,,,2023,Valspar Championship,,
Valspar Championship,,,27.0,,,,,,,2023,Valspar Championship,,
Valspar Championship,,,28.0,1.0,-1.0,,,,,2023,Valspar Championship,,
Valspar Championship,,,29.0,,-2.0,2.0,,,,2023,Valspar Championship,,
Valspar Championship,,,30.0,-2.0,-1.0,3.0,,,,2023,Valspar Championship,,
Valspar Championship,,,31.0,2.0,-1.0,-3.0,2.0,,,2023,Valspar Championship,,
Valspar Championship,,,32.0,-3.0,,,3.0,,,2023,Valspar Championship,,
Valspar Championship,,,33.0,-5.0,1.0,1.0,3.0,,,2023,Valspar Championship,,
Valspar Championship,,,34.0,-1.0,,-3.0,4.0,,,2023,Valspar Championship,,
Valspar Championship,,,35.0,1.0,-3.0,-2.0,4.0,,,2023,Valspar Championship,,
Valspar Championship,,,36.0,-1.0,2.0,2.0,-2.0,,,2023,Valspar Championship,,
Valspar Championship,,,37.0,,1.0,2.0,-2.0,,,2023,Valspar Championship,,
Valspar Championship,,,38.0,-4.0,3.0,3.0,-1.0,,,2023,Valspar Championship,,
Valspar Championship,,,39.0,,1.0,,,,,2023,Valspar Championship,,
Valspar Championship,,,40.0,-1.0,2.0,,,,,2023,Valspar Championship,,
Valspar Championship,,,41.0,,,1.0,,,,2023,Valspar Championship,,
Valspar Championship,,,42.0,1.0,-2.0,1.0,1.0,,,2023,Valspar Championship,,
Valspar Championship,,,43.0,1.0,-1.0,-1.0,2.0,,,2023,Valspar Championship,,
Valspar Championship,,,44.0,-4.0,1.0,2.0,2.0,,,2023,Valspar Championship,,
Valspar Championship,,,45.0,-1.0,,4.0,-1.0,,,2023,Valspar Championship,,
Valspar Championship,,,46.0,,1.0,,1.0,,,2023,Valspar Championship,,
Valspar Championship,,,47.0,,1.0,,1.0,,,2023,Valspar Championship,,
Valspar Championship,,,48.0,1.0,,,1.0,,,2023,Valspar Championship,,
Valspar Championship,,,49.0,,-1.0,2.0,1.0,,,2023,Valspar Championship,,
Valspar Championship,,,50.0,1.0,-2.0,2.0,1.0,,,2023,Valspar Championship,,
Valspar Championship,,,51.0,,-1.0,1.0,2.0,,,2023,Valspar Championship,,
Valspar Championship,,,52.0,-2.0,1.0,1.0,2.0,,,2023,Valspar Championship,,
Valspar Championship,,,53.0,-2.0,,2.0,2.0,,,2023,Valspar Championship,,
Valspar Championship,,,54.0,-3.0,-3.0,6.0,2.0,,,2023,Valspar Championship,,
Valspar Championship,,,55.0,1.0,-2.0,,3.0,,,2023,Valspar Championship,,
Valspar Championship,,,56.0,-3.0,,2.0,3.0,,,2023,Valspar Championship,,
Valspar Championship,,,57.0,,-1.0,3.0,1.0,,,2023,Valspar Championship,,
Valspar Championship,,,58.0,,1.0,2.0,1.0,,,2023,Valspar Championship,,
Valspar Championship,,,59.0,,1.0,-2.0,5.0,,,2023,Valspar Championship,,
Valspar Championship,,,60.0,,-2.0,-1.0,7.0,,,2023,Valspar Championship,,
Valspar Championship,,,61.0,1.0,,2.0,2.0,,,2023,Valspar Championship,,
Valspar Championship,,,62.0,2.0,-2.0,2.0,3.0,,,2023,Valspar Championship,,
Valspar Championship,,,63.0,1.0,-1.0,3.0,3.0,,,2023,Valspar Championship,,
Valspar Championship,,,64.0,3.0,-3.0,1.0,5.0,,,2023,Valspar Championship,,
Valspar Championship,,,65.0,2.0,-2.0,6.0,1.0,,,2023,Valspar Championship,,
Valspar Championship,,,66.0,-5.0,4.0,5.0,3.0,,,2023,Valspar Championship,,
Valspar Championship,,,67.0,2.0,-1.0,2.0,4.0,,,2023,Valspar Championship,,
Valspar Championship,,,68.0,1.0,,2.0,4.0,,,2023,Valspar Championship,,
Valspar Championship,,,69.0,4.0,-4.0,3.0,5.0,,,2023,Valspar Championship,,
Valspar Championship,,,70.0,,-2.0,1.0,9.0,,,2023,Valspar Championship,,
Valspar Championship,,,71.0,2.0,-1.0,6.0,3.0,,,2023,Valspar Championship,,
Valspar Championship,,,72.0,1.0,,3.0,6.0,,,2023,Valspar Championship,,
Valspar Championship,,,73.0,4.0,-2.0,,,,,2023,Valspar Championship,,
Valspar Championship,,,74.0,4.0,-2.0,,,,,2023,Valspar Championship,,
Valspar Championship,,,75.0,4.0,-2.0,,,,,2023,Valspar Championship,,
