tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Vivint Houston Open,,,1.0,-3.0,-2.0,-3.0,-5.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,2.0,,,-4.0,-7.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,3.0,2.0,-4.0,-4.0,-5.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,4.0,-2.0,-1.0,1.0,-7.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,5.0,2.0,,-5.0,-5.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,6.0,-2.0,-1.0,-4.0,-1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,7.0,,2.0,-2.0,-7.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,8.0,1.0,,-3.0,-5.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,9.0,-3.0,-2.0,-3.0,1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,10.0,-2.0,-5.0,-2.0,2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,11.0,-2.0,,-1.0,-3.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,12.0,-1.0,-1.0,-2.0,-2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,13.0,-1.0,-3.0,,-2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,14.0,,-4.0,-1.0,-1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,15.0,-3.0,1.0,2.0,-5.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,16.0,,-2.0,1.0,-4.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,17.0,-1.0,1.0,-3.0,-2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,18.0,,-1.0,-2.0,-2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,19.0,-3.0,2.0,-3.0,-1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,20.0,1.0,1.0,-3.0,-3.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,21.0,1.0,-1.0,-1.0,-3.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,22.0,,-3.0,,-1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,23.0,,-4.0,-1.0,1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,24.0,1.0,-1.0,2.0,-5.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,25.0,1.0,2.0,-2.0,-4.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,26.0,-1.0,-2.0,2.0,-2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,27.0,-1.0,-3.0,3.0,-2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,28.0,-1.0,-1.0,-2.0,1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,29.0,1.0,-1.0,1.0,-3.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,30.0,-1.0,2.0,-1.0,-2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,31.0,,,-1.0,-1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,32.0,-3.0,5.0,2.0,-5.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,33.0,-2.0,4.0,-1.0,-2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,34.0,4.0,-2.0,-1.0,-2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,35.0,-2.0,-1.0,4.0,-2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,36.0,1.0,-2.0,1.0,-1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,37.0,,-1.0,-1.0,1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,38.0,1.0,2.0,3.0,-6.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,39.0,2.0,-2.0,2.0,-2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,40.0,,-1.0,2.0,-1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,41.0,-1.0,2.0,-1.0,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,42.0,3.0,-2.0,-1.0,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,43.0,6.0,-3.0,-5.0,2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,44.0,3.0,-2.0,4.0,-4.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,45.0,-5.0,1.0,6.0,-1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,46.0,3.0,,-2.0,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,47.0,-1.0,3.0,-1.0,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,48.0,4.0,-2.0,-1.0,1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,49.0,3.0,-1.0,-1.0,1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,50.0,4.0,-1.0,3.0,-3.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,51.0,1.0,1.0,3.0,-2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,52.0,1.0,-1.0,5.0,-2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,53.0,4.0,-2.0,2.0,-1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,54.0,-2.0,3.0,2.0,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,55.0,3.0,,-1.0,1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,56.0,-1.0,1.0,2.0,1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,57.0,3.0,-1.0,-1.0,2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,58.0,2.0,1.0,1.0,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,59.0,2.0,-1.0,3.0,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,60.0,5.0,-2.0,-2.0,3.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,61.0,1.0,,3.0,1.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,62.0,,1.0,2.0,2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,63.0,-1.0,2.0,7.0,-2.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,64.0,-1.0,-1.0,6.0,3.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,65.0,3.0,-1.0,,5.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,66.0,,2.0,4.0,3.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,67.0,1.0,-1.0,5.0,4.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,68.0,-3.0,6.0,7.0,5.0,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,69.0,6.0,-2.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,70.0,5.0,-1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,71.0,5.0,-1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,72.0,3.0,1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,73.0,3.0,1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,74.0,2.0,2.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,75.0,2.0,2.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,76.0,1.0,3.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,77.0,1.0,3.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,78.0,,4.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,79.0,-2.0,6.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,80.0,5.0,,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,81.0,5.0,,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,82.0,4.0,1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,83.0,4.0,1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,84.0,4.0,1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,85.0,4.0,1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,86.0,3.0,2.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,87.0,3.0,2.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,88.0,2.0,3.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,89.0,1.0,4.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,90.0,,5.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,91.0,7.0,-1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,92.0,6.0,,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,93.0,6.0,,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,94.0,5.0,1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,95.0,5.0,1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,96.0,2.0,4.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,97.0,2.0,4.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,98.0,6.0,1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,99.0,6.0,1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,100.0,4.0,3.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,101.0,2.0,5.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,102.0,,7.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,103.0,9.0,-1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,104.0,7.0,1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,105.0,4.0,4.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,106.0,3.0,5.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,107.0,-1.0,9.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,108.0,9.0,,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,109.0,7.0,2.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,110.0,6.0,3.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,111.0,5.0,4.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,112.0,4.0,5.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,113.0,3.0,6.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,114.0,11.0,-1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,115.0,7.0,3.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,116.0,5.0,5.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,117.0,3.0,7.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,118.0,,10.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,119.0,9.0,2.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,120.0,7.0,4.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,121.0,4.0,7.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,122.0,4.0,7.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,123.0,1.0,10.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,124.0,1.0,10.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,125.0,10.0,3.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,126.0,8.0,6.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,127.0,7.0,8.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,128.0,15.0,2.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,129.0,5.0,12.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,130.0,6.0,1.0,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,131.0,5.0,,,,,,2021,Vivint Houston Open,,
Vivint Houston Open,,,132.0,7.0,,,,,,2021,Vivint Houston Open,,
