tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
WGC-Bridgestone Invitational,,,1.0,-5.0,-6.0,-3.0,-1.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,2.0,-7.0,-2.0,,-2.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,3.0,-1.0,1.0,-4.0,-6.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,4.0,1.0,-3.0,-2.0,-6.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,5.0,-4.0,,-2.0,-3.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,6.0,-3.0,1.0,-3.0,-3.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,7.0,-6.0,2.0,-2.0,-2.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,8.0,-5.0,,-1.0,-2.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,9.0,-5.0,-3.0,-3.0,3.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,10.0,-2.0,-4.0,1.0,-2.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,11.0,-6.0,-2.0,2.0,-1.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,12.0,-5.0,-4.0,-1.0,3.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,13.0,-8.0,-3.0,,4.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,14.0,-2.0,,-3.0,-1.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,15.0,-4.0,-7.0,4.0,1.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,16.0,-5.0,-1.0,-3.0,3.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,17.0,-3.0,1.0,-1.0,-2.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,18.0,-1.0,,-3.0,-1.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,19.0,-3.0,-2.0,1.0,-1.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,20.0,-2.0,-3.0,-1.0,1.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,21.0,-7.0,4.0,-5.0,3.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,22.0,-6.0,,-2.0,3.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,23.0,,,-1.0,-3.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,24.0,-4.0,-1.0,2.0,,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,25.0,-1.0,-5.0,1.0,2.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,26.0,-5.0,-2.0,1.0,3.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,27.0,-2.0,-4.0,-1.0,4.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,28.0,-2.0,-3.0,2.0,1.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,29.0,-4.0,,,2.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,30.0,5.0,-1.0,-2.0,-3.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,31.0,1.0,2.0,4.0,-7.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,32.0,-2.0,1.0,1.0,,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,33.0,,3.0,-4.0,1.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,34.0,,,-1.0,1.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,35.0,-2.0,-3.0,4.0,1.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,36.0,1.0,-1.0,-3.0,3.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,37.0,-5.0,2.0,,3.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,38.0,-4.0,-2.0,3.0,3.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,39.0,,2.0,,-1.0,,,2018,Barracuda Championship,,
WGC-Bridgestone Invitational,,,40.0,1.0,2.0,-2.0,,,,2018,Barracuda Championship,,
