tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
WGC-HSBC CHAMPIONS,,,1.0,-6.0,-1.0,-3.0,-4.0,,,2019,WGC-HSBC CHAMPIONS,-1.0,
WGC-HSBC CHAMPIONS,,,2.0,-6.0,-5.0,-2.0,-1.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,3.0,-3.0,-5.0,-2.0,,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,4.0,-4.0,-1.0,-2.0,-1.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,5.0,-2.0,-1.0,-5.0,,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,6.0,-3.0,-2.0,-2.0,,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,7.0,-2.0,-4.0,1.0,,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,8.0,3.0,-3.0,-5.0,,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,9.0,-4.0,-4.0,,3.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,10.0,-8.0,,-2.0,5.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,11.0,1.0,,-3.0,-2.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,12.0,-4.0,,-1.0,1.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,13.0,-1.0,-2.0,-3.0,2.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,14.0,-4.0,1.0,1.0,-1.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,15.0,-2.0,-3.0,2.0,,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,16.0,,2.0,-1.0,-3.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,17.0,1.0,-4.0,2.0,-1.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,18.0,-3.0,1.0,,1.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,19.0,2.0,-3.0,-1.0,1.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,20.0,3.0,-8.0,2.0,2.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,21.0,-3.0,-1.0,2.0,2.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,22.0,4.0,,-1.0,-2.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,23.0,1.0,4.0,-3.0,-1.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,24.0,-2.0,-3.0,6.0,,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,25.0,,-2.0,2.0,1.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,26.0,-4.0,4.0,-2.0,3.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,27.0,,-1.0,-3.0,5.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,28.0,-1.0,-2.0,4.0,1.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,29.0,-2.0,3.0,-2.0,3.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,30.0,2.0,1.0,1.0,-1.0,,,2019,WGC-HSBC CHAMPIONS,,
WGC-HSBC CHAMPIONS,,,31.0,3.0,4.0,-4.0,,,,2019,WGC-HSBC CHAMPIONS,,
