tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
WGC-Mexico Championship,,,1.0,-7.0,-4.0,-5.0,-5.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,2.0,-8.0,-1.0,-3.0,-4.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,3.0,,1.0,-6.0,-6.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,4.0,-3.0,-2.0,-3.0,-3.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,5.0,-3.0,-3.0,-2.0,-3.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,6.0,1.0,-4.0,-6.0,-1.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,7.0,-2.0,-4.0,-3.0,-1.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,8.0,-2.0,-5.0,-2.0,-1.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,9.0,-5.0,2.0,3.0,-9.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,10.0,,-4.0,3.0,-7.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,11.0,-2.0,2.0,-2.0,-6.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,12.0,-3.0,,-3.0,-2.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,13.0,,-5.0,-1.0,-2.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,14.0,-2.0,-3.0,2.0,-4.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,15.0,-2.0,2.0,-5.0,-2.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,16.0,1.0,-3.0,-7.0,2.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,17.0,,,-4.0,-2.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,18.0,,-4.0,-1.0,-1.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,19.0,-2.0,1.0,,-4.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,20.0,2.0,-3.0,,-4.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,21.0,5.0,-2.0,-5.0,-3.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,22.0,1.0,-1.0,-4.0,-1.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,23.0,-4.0,-1.0,1.0,-1.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,24.0,-1.0,-6.0,1.0,1.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,25.0,2.0,-2.0,-2.0,-2.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,26.0,1.0,-5.0,-2.0,2.0,,,2019,Puerto Rico Open,,
WGC-Mexico Championship,,,27.0,2.0,-1.0,-2.0,-2.0,,,2019,Puerto Rico Open,,
