tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
WGC-Workday Championship at The Concession,,,1.0,-2.0,-8.0,-5.0,-3.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,2.0,-1.0,-3.0,-6.0,-5.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,3.0,-5.0,-5.0,-3.0,-2.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,4.0,-5.0,-6.0,-2.0,-2.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,5.0,-3.0,-2.0,-5.0,-4.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,6.0,-3.0,-4.0,-2.0,-3.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,7.0,-3.0,-2.0,-6.0,-1.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,8.0,-6.0,-3.0,-3.0,,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,9.0,-2.0,-3.0,-3.0,-3.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,10.0,-4.0,-4.0,-3.0,,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,11.0,1.0,-3.0,-3.0,-5.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,12.0,-4.0,-6.0,5.0,-5.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,13.0,-6.0,-3.0,-1.0,,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,14.0,-4.0,-5.0,,,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,15.0,1.0,,-3.0,-6.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,16.0,1.0,-6.0,-2.0,-1.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,17.0,,-6.0,-4.0,2.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,18.0,2.0,-1.0,-5.0,-3.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,19.0,,-2.0,-3.0,-2.0,,,2021,WGC-Workday Championship at The Concession,,
WGC-Workday Championship at The Concession,,,20.0,-1.0,-3.0,-3.0,,,,2021,WGC-Workday Championship at The Concession,,
