tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
WM Phoenix Open,,,1.0,-5.0,-7.0,-6.0,-6.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,2.0,-3.0,-5.0,-5.0,-4.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,3.0,-2.0,-8.0,-3.0,-4.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,4.0,-4.0,-5.0,-2.0,-5.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,5.0,-3.0,-6.0,-4.0,-3.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,6.0,-5.0,-3.0,-1.0,-6.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,7.0,-3.0,-4.0,-3.0,-5.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,8.0,-3.0,-2.0,-6.0,-4.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,9.0,-3.0,-5.0,-1.0,-5.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,10.0,-6.0,-2.0,-3.0,-3.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,11.0,-1.0,-3.0,-8.0,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,12.0,3.0,-7.0,-5.0,-4.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,13.0,-1.0,-5.0,-3.0,-4.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,14.0,-3.0,-4.0,-6.0,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,15.0,-1.0,-3.0,-3.0,-5.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,16.0,,-4.0,-3.0,-4.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,17.0,-7.0,2.0,-2.0,-4.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,18.0,2.0,-5.0,-6.0,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,19.0,1.0,-7.0,-3.0,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,20.0,-2.0,-4.0,-3.0,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,21.0,3.0,-5.0,-4.0,-4.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,22.0,-1.0,-3.0,-4.0,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,23.0,-1.0,-4.0,-3.0,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,24.0,-4.0,-6.0,2.0,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,25.0,-5.0,-2.0,1.0,-3.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,26.0,-5.0,1.0,-3.0,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,27.0,-1.0,-5.0,-1.0,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,28.0,-3.0,-5.0,1.0,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,29.0,-1.0,-1.0,-6.0,-1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,30.0,-2.0,-5.0,-1.0,-1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,31.0,-2.0,-5.0,-3.0,1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,32.0,-2.0,-2.0,-2.0,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,33.0,2.0,-6.0,-3.0,-1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,34.0,4.0,-8.0,-4.0,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,35.0,-5.0,-1.0,-2.0,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,36.0,-1.0,-1.0,-4.0,-1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,37.0,,-3.0,-3.0,-1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,38.0,,-4.0,-2.0,-1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,39.0,-2.0,-4.0,,-1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,40.0,-1.0,-5.0,,-1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,41.0,-5.0,,-2.0,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,42.0,-2.0,-4.0,-1.0,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,43.0,-2.0,-5.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,44.0,2.0,-4.0,,-4.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,45.0,-1.0,-1.0,,-4.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,46.0,-4.0,,1.0,-3.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,47.0,-5.0,-1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,48.0,-4.0,-5.0,1.0,2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,49.0,-1.0,-2.0,3.0,-5.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,50.0,-3.0,,2.0,-4.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,51.0,-2.0,-1.0,,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,52.0,,-3.0,-1.0,-1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,53.0,-2.0,-2.0,,-1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,54.0,-2.0,-1.0,-2.0,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,55.0,-3.0,-1.0,-2.0,1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,56.0,-2.0,-1.0,-5.0,3.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,57.0,,-2.0,,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,58.0,-1.0,-1.0,,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,59.0,1.0,-5.0,2.0,-2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,60.0,3.0,-5.0,-2.0,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,61.0,-6.0,3.0,-2.0,1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,62.0,-2.0,-2.0,-4.0,4.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,63.0,-1.0,-1.0,2.0,-3.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,64.0,1.0,-5.0,,1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,65.0,-3.0,-3.0,1.0,2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,66.0,-1.0,-1.0,1.0,-1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,67.0,2.0,-4.0,,1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,68.0,-1.0,-2.0,,2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,69.0,-1.0,-1.0,2.0,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,70.0,,-2.0,1.0,1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,71.0,-1.0,-4.0,4.0,2.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,72.0,,-2.0,,3.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,73.0,-3.0,-1.0,5.0,1.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,74.0,1.0,-3.0,1.0,4.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,75.0,-4.0,,2.0,5.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,76.0,,-2.0,2.0,4.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,77.0,-1.0,-4.0,8.0,7.0,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,78.0,3.0,-4.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,79.0,2.0,-3.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,80.0,1.0,-2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,81.0,,-1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,82.0,-1.0,,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,83.0,-1.0,,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,84.0,-1.0,,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,85.0,-2.0,1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,86.0,-2.0,1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,87.0,-2.0,1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,88.0,4.0,-4.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,89.0,3.0,-3.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,90.0,2.0,-2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,91.0,2.0,-2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,92.0,1.0,-1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,93.0,,,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,94.0,-1.0,1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,95.0,3.0,-2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,96.0,2.0,-1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,97.0,2.0,-1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,98.0,2.0,-1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,99.0,2.0,-1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,100.0,1.0,,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,101.0,,1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,102.0,-2.0,3.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,103.0,3.0,-1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,104.0,2.0,,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,105.0,2.0,,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,106.0,,2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,107.0,,2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,108.0,5.0,-2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,109.0,5.0,-2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,110.0,4.0,-1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,111.0,3.0,,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,112.0,1.0,2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,113.0,,3.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,114.0,-1.0,4.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,115.0,4.0,,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,116.0,2.0,2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,117.0,2.0,2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,118.0,2.0,2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,119.0,1.0,3.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,120.0,1.0,3.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,121.0,,4.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,122.0,5.0,,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,123.0,4.0,1.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,124.0,3.0,2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,125.0,3.0,2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,126.0,6.0,,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,127.0,7.0,,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,128.0,7.0,2.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,129.0,5.0,4.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,130.0,8.0,3.0,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,131.0,2.0,,,,,,2025,WM Phoenix Open,,
WM Phoenix Open,,,132.0,3.0,,,,,,2025,WM Phoenix Open,,
