tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Waste Management Phoenix Open,,,1.0,-7.0,-6.0,-7.0,3.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,2.0,-4.0,-7.0,-2.0,-2.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,3.0,-7.0,-5.0,-3.0,1.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,4.0,,-2.0,-7.0,-3.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,5.0,-5.0,-4.0,-3.0,,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,6.0,-4.0,-6.0,-6.0,4.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,7.0,-2.0,-3.0,-4.0,-2.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,8.0,,-5.0,-4.0,-2.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,9.0,-3.0,-4.0,-5.0,1.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,10.0,-4.0,1.0,-4.0,-3.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,11.0,,-5.0,-2.0,-3.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,12.0,-1.0,-2.0,-5.0,-2.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,13.0,-4.0,-3.0,-1.0,-2.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,14.0,-7.0,,-3.0,,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,15.0,-5.0,,-1.0,-3.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,16.0,-3.0,-2.0,-2.0,-2.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,17.0,-3.0,-3.0,-2.0,-1.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,18.0,-4.0,-6.0,,1.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,19.0,-4.0,-7.0,1.0,1.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,20.0,-5.0,,,-3.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,21.0,,-6.0,-1.0,-1.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,22.0,-4.0,-2.0,-1.0,-1.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,23.0,2.0,-5.0,-6.0,1.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,24.0,-5.0,-3.0,-1.0,1.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,25.0,-5.0,-3.0,-5.0,5.0,,,2019,Waste Management Phoenix Open,,
Waste Management Phoenix Open,,,26.0,-1.0,-2.0,-1.0,-3.0,,,2019,Waste Management Phoenix Open,,
