tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Wells Fargo Championship,,,1.0,1.0,-5.0,-3.0,-3.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,2.0,-2.0,-1.0,-1.0,-5.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,3.0,-2.0,1.0,-3.0,-4.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,4.0,-4.0,,-5.0,1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,5.0,-4.0,-2.0,-1.0,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,6.0,,-2.0,-2.0,-1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,7.0,-2.0,-4.0,2.0,-1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,8.0,-4.0,1.0,-3.0,1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,9.0,-1.0,3.0,-3.0,-3.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,10.0,1.0,,-3.0,-2.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,11.0,-2.0,,1.0,-2.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,12.0,-1.0,-3.0,2.0,-1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,13.0,-3.0,1.0,-3.0,2.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,14.0,-4.0,4.0,-1.0,-1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,15.0,,,-1.0,-1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,16.0,3.0,-5.0,1.0,-1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,17.0,1.0,,-3.0,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,18.0,3.0,-2.0,1.0,-3.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,19.0,-2.0,4.0,-2.0,-1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,20.0,-3.0,1.0,2.0,-1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,21.0,,,-1.0,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,22.0,-5.0,4.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,23.0,-1.0,,-1.0,1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,24.0,-3.0,1.0,,1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,25.0,-1.0,-2.0,,2.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,26.0,3.0,-4.0,3.0,-2.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,27.0,1.0,-1.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,28.0,-2.0,2.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,29.0,-2.0,1.0,1.0,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,30.0,4.0,-3.0,-2.0,1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,31.0,2.0,-2.0,-1.0,1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,32.0,-1.0,,,1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,33.0,-2.0,1.0,,1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,34.0,1.0,-3.0,,2.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,35.0,-1.0,,-2.0,3.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,36.0,-4.0,3.0,-3.0,4.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,37.0,-3.0,2.0,5.0,-3.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,38.0,-1.0,2.0,1.0,-1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,39.0,,-2.0,4.0,-1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,40.0,-3.0,-3.0,8.0,-1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,41.0,-2.0,,2.0,1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,42.0,-1.0,2.0,-4.0,4.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,43.0,,1.0,2.0,-1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,44.0,-1.0,1.0,3.0,-1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,45.0,-2.0,1.0,2.0,1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,46.0,-1.0,,2.0,1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,47.0,-4.0,3.0,1.0,2.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,48.0,1.0,-2.0,,3.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,49.0,,,-4.0,6.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,50.0,-2.0,-2.0,-1.0,7.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,51.0,1.0,,6.0,-4.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,52.0,-2.0,4.0,1.0,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,53.0,-3.0,-2.0,5.0,3.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,54.0,,1.0,4.0,-1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,55.0,-2.0,1.0,2.0,3.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,56.0,-2.0,3.0,-1.0,4.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,57.0,-3.0,4.0,-2.0,5.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,58.0,3.0,-3.0,7.0,-2.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,59.0,6.0,-4.0,2.0,1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,60.0,4.0,-3.0,3.0,1.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,61.0,-5.0,6.0,-1.0,5.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,62.0,2.0,-3.0,1.0,5.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,63.0,-2.0,1.0,,6.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,64.0,5.0,-7.0,1.0,6.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,65.0,,2.0,4.0,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,66.0,1.0,1.0,2.0,2.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,67.0,,2.0,-1.0,5.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,68.0,-1.0,-3.0,2.0,8.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,69.0,-7.0,4.0,5.0,5.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,70.0,-1.0,3.0,2.0,4.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,71.0,1.0,1.0,-1.0,7.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,72.0,1.0,1.0,5.0,2.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,73.0,2.0,,5.0,2.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,74.0,3.0,-1.0,3.0,4.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,75.0,,,5.0,4.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,76.0,3.0,-1.0,6.0,4.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,77.0,2.0,,4.0,8.0,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,78.0,5.0,-2.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,79.0,3.0,,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,80.0,3.0,,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,81.0,2.0,1.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,82.0,1.0,2.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,83.0,1.0,2.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,84.0,1.0,2.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,85.0,1.0,2.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,86.0,1.0,2.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,87.0,,3.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,88.0,,3.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,89.0,,3.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,90.0,-1.0,4.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,91.0,-1.0,4.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,92.0,-1.0,4.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,93.0,-2.0,5.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,94.0,5.0,-1.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,95.0,5.0,-1.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,96.0,4.0,,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,97.0,3.0,1.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,98.0,3.0,1.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,99.0,3.0,1.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,100.0,3.0,1.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,101.0,2.0,2.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,102.0,2.0,2.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,103.0,1.0,3.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,104.0,1.0,3.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,105.0,1.0,3.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,106.0,1.0,3.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,107.0,1.0,3.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,108.0,1.0,3.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,109.0,1.0,3.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,110.0,,4.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,111.0,,4.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,112.0,,4.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,113.0,-1.0,5.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,114.0,3.0,2.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,115.0,3.0,2.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,116.0,3.0,2.0,,,,,2021,Wells Fargo Championship,,
Wells Fargo Championship,,,117.0,3.0,2.0,,,,,2021,Wells Fargo Championship,,
