tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
World Golf Championships-Bridgestone Invitational,,,1.0,-1.0,-3.0,-3.0,-9.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,2.0,-1.0,-3.0,-5.0,-2.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,3.0,-2.0,-1.0,-3.0,-4.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,4.0,-5.0,,-4.0,1.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,5.0,,-1.0,-3.0,-3.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,6.0,-4.0,1.0,-2.0,-2.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,7.0,-2.0,-1.0,-3.0,-1.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,8.0,-3.0,-1.0,-2.0,-1.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,9.0,,1.0,-3.0,-4.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,10.0,3.0,,-3.0,-5.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,11.0,,-1.0,,-4.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,12.0,,-1.0,-7.0,3.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,13.0,-2.0,1.0,-1.0,-2.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,14.0,,-1.0,-1.0,-2.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,15.0,-3.0,,1.0,-2.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,16.0,2.0,-3.0,-2.0,-1.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,17.0,-2.0,5.0,-2.0,-4.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,18.0,2.0,,-2.0,-3.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,19.0,1.0,2.0,-4.0,-2.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,20.0,-1.0,1.0,-2.0,-1.0,,,2017,Barracuda Championship,,
World Golf Championships-Bridgestone Invitational,,,21.0,-3.0,4.0,-4.0,,,,2017,Barracuda Championship,,
