tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
World Golf Championships-Cadillac Championship,,,1.0,-4.0,1.0,-3.0,-3.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,2.0,-10.0,1.0,-2.0,3.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,3.0,-1.0,-3.0,-2.0,-1.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,4.0,-2.0,-4.0,3.0,-1.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,5.0,-3.0,-1.0,,,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,6.0,-1.0,2.0,-5.0,1.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,7.0,2.0,-3.0,-2.0,1.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,8.0,2.0,1.0,-7.0,2.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,9.0,2.0,-1.0,-1.0,-1.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,10.0,1.0,-2.0,,,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,11.0,-6.0,-1.0,2.0,4.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,12.0,1.0,4.0,-1.0,-4.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,13.0,-2.0,1.0,4.0,-3.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,14.0,-4.0,5.0,-1.0,,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,15.0,-1.0,-2.0,2.0,1.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,16.0,-1.0,,-2.0,3.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,17.0,1.0,3.0,-3.0,,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,18.0,2.0,1.0,-2.0,,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,19.0,3.0,-3.0,1.0,,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,20.0,-3.0,2.0,1.0,1.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,21.0,-1.0,2.0,-2.0,2.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,22.0,1.0,-1.0,-1.0,2.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,23.0,4.0,,,-2.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,24.0,-2.0,2.0,4.0,-2.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,25.0,6.0,-3.0,,-1.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,26.0,6.0,-1.0,-3.0,,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,27.0,1.0,3.0,-2.0,,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,28.0,6.0,,-5.0,1.0,,,2015,Puerto Rico Open,,
World Golf Championships-Cadillac Championship,,,29.0,,1.0,,1.0,,,2015,Puerto Rico Open,,
