tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
World Golf Championships-Dell Match Play,,,1.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,2.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,3.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,4.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,5.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,6.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,7.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,8.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,9.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,10.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,11.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,12.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,13.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,14.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,15.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,16.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,17.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,18.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,19.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,20.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,21.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,22.0,,,,,,,2016,World Golf Championships-Dell Match Play,,
World Golf Championships-Dell Match Play,,,1.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,2.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,3.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,4.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,5.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,6.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,7.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,8.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,9.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,10.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,11.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,12.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,13.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,14.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,15.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,16.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,17.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,18.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,19.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,20.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,21.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
World Golf Championships-Dell Match Play,,,22.0,,,,,,,2016,Puerto Rico Open at Coco Beach,,
