tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
World Golf Championships-HSBC Champions,,,1.0,-6.0,-7.0,-4.0,-6.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,2.0,-3.0,-1.0,-5.0,-7.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,3.0,-6.0,-2.0,-5.0,-3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,4.0,-1.0,-6.0,-2.0,-6.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,5.0,-5.0,-5.0,-2.0,-3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,6.0,-7.0,1.0,-4.0,-4.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,7.0,-3.0,-4.0,-3.0,-4.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,8.0,-5.0,-3.0,-4.0,-2.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,9.0,-4.0,,-3.0,-5.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,10.0,-6.0,-4.0,-4.0,2.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,11.0,,-5.0,-1.0,-5.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,12.0,-4.0,,-2.0,-4.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,13.0,-5.0,-2.0,,-3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,14.0,-3.0,8.0,-8.0,-6.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,15.0,-1.0,-2.0,-6.0,,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,16.0,,2.0,-2.0,-7.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,17.0,,-4.0,-1.0,-2.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,18.0,-2.0,1.0,-5.0,-1.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,19.0,-1.0,2.0,-4.0,-3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,20.0,-8.0,3.0,-1.0,,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,21.0,1.0,-6.0,-4.0,4.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,22.0,-4.0,-3.0,-2.0,4.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,23.0,1.0,-3.0,1.0,-3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,24.0,-2.0,4.0,-5.0,-1.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,25.0,-1.0,-2.0,,-1.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,26.0,-1.0,,-6.0,3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,27.0,-3.0,-2.0,-2.0,3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,28.0,2.0,-4.0,-7.0,5.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,29.0,-3.0,-2.0,5.0,-3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,30.0,1.0,2.0,1.0,-6.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,31.0,1.0,3.0,-1.0,-5.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,32.0,-2.0,1.0,1.0,-2.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,33.0,,-1.0,,-1.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,34.0,-4.0,-4.0,3.0,3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,35.0,2.0,2.0,-2.0,-3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,36.0,-1.0,,1.0,-1.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,37.0,-1.0,2.0,-2.0,,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,38.0,-2.0,-1.0,,2.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,39.0,-4.0,-2.0,2.0,3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,40.0,1.0,3.0,,-4.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,41.0,5.0,-2.0,,-3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,42.0,-3.0,7.0,-4.0,,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,43.0,,-4.0,2.0,2.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,44.0,1.0,-2.0,-3.0,4.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,45.0,7.0,-1.0,1.0,-6.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,46.0,-1.0,3.0,-3.0,2.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,47.0,2.0,2.0,-1.0,-1.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,48.0,,3.0,,-1.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,49.0,,1.0,2.0,-1.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,50.0,-1.0,2.0,1.0,,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,51.0,3.0,-3.0,-3.0,5.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,52.0,3.0,2.0,,-2.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,53.0,2.0,-2.0,4.0,-1.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,54.0,-1.0,1.0,4.0,1.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,55.0,1.0,1.0,1.0,2.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,56.0,3.0,-1.0,1.0,2.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,57.0,,,,5.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,58.0,,3.0,3.0,,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,59.0,,3.0,1.0,2.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,60.0,5.0,2.0,-3.0,3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,61.0,6.0,3.0,-6.0,4.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,62.0,2.0,9.0,,-3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,63.0,7.0,,2.0,-1.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,64.0,2.0,3.0,4.0,-1.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,65.0,1.0,,2.0,5.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,66.0,1.0,1.0,,6.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,67.0,,3.0,2.0,5.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,68.0,,4.0,,6.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,69.0,10.0,4.0,-3.0,,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,70.0,4.0,4.0,3.0,,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,71.0,6.0,1.0,-1.0,5.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,72.0,,8.0,-3.0,6.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,73.0,4.0,1.0,5.0,3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,74.0,2.0,6.0,3.0,3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,75.0,,6.0,4.0,7.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,76.0,6.0,7.0,5.0,,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,77.0,3.0,7.0,5.0,3.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,78.0,7.0,2.0,-1.0,-1.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,79.0,,6.0,4.0,7.0,,,2017,World Golf Championships-HSBC Champions,,
World Golf Championships-HSBC Champions,,,1.0,-6.0,-7.0,-4.0,-6.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,2.0,-3.0,-1.0,-5.0,-7.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,3.0,-6.0,-2.0,-5.0,-3.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,4.0,-1.0,-6.0,-2.0,-6.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,5.0,-5.0,-5.0,-2.0,-3.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,6.0,-7.0,1.0,-4.0,-4.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,7.0,-3.0,-4.0,-3.0,-4.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,8.0,-5.0,-3.0,-4.0,-2.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,9.0,-4.0,,-3.0,-5.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,10.0,-6.0,-4.0,-4.0,2.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,11.0,,-5.0,-1.0,-5.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,12.0,-4.0,,-2.0,-4.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,13.0,-5.0,-2.0,,-3.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,14.0,-3.0,8.0,-8.0,-6.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,15.0,-1.0,-2.0,-6.0,,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,16.0,,2.0,-2.0,-7.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,17.0,,-4.0,-1.0,-2.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,18.0,-2.0,1.0,-5.0,-1.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,19.0,-1.0,2.0,-4.0,-3.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,20.0,-8.0,3.0,-1.0,,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,21.0,1.0,-6.0,-4.0,4.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,22.0,-4.0,-3.0,-2.0,4.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,23.0,1.0,-3.0,1.0,-3.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,24.0,-2.0,4.0,-5.0,-1.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,25.0,-1.0,-2.0,,-1.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,26.0,-1.0,,-6.0,3.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,27.0,-3.0,-2.0,-2.0,3.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,28.0,2.0,-4.0,-7.0,5.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,29.0,-3.0,-2.0,5.0,-3.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,30.0,1.0,2.0,1.0,-6.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,31.0,1.0,3.0,-1.0,-5.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,32.0,-2.0,1.0,1.0,-2.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,33.0,,-1.0,,-1.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,34.0,-4.0,-4.0,3.0,3.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,35.0,2.0,2.0,-2.0,-3.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,36.0,-1.0,,1.0,-1.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,37.0,-1.0,2.0,-2.0,,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,38.0,-2.0,-1.0,,2.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,39.0,-4.0,-2.0,2.0,3.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,40.0,1.0,3.0,,-4.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,41.0,5.0,-2.0,,-3.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,42.0,-3.0,7.0,-4.0,,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,43.0,,-4.0,2.0,2.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,44.0,1.0,-2.0,-3.0,4.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,45.0,7.0,-1.0,1.0,-6.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,46.0,-1.0,3.0,-3.0,2.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,47.0,2.0,2.0,-1.0,-1.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,48.0,,3.0,,-1.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,49.0,,1.0,2.0,-1.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,50.0,-1.0,2.0,1.0,,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,51.0,3.0,-3.0,-3.0,5.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,52.0,3.0,2.0,,-2.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,53.0,2.0,-2.0,4.0,-1.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,54.0,-1.0,1.0,4.0,1.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,55.0,1.0,1.0,1.0,2.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,56.0,3.0,-1.0,1.0,2.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,57.0,,,,5.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,58.0,,3.0,3.0,,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,59.0,,3.0,1.0,2.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,60.0,5.0,2.0,-3.0,3.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,61.0,6.0,3.0,-6.0,4.0,,,2017,Sanderson Farms Championship,,
World Golf Championships-HSBC Champions,,,62.0,2.0,9.0,,-3.0,,,2017,Sanderson Farms Championship,,
