tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
World Golf Championships-Mexico Championship,,,1.0,-2.0,-3.0,-6.0,-5.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,2.0,-1.0,-3.0,-7.0,-4.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,3.0,-5.0,-4.0,-2.0,-4.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,4.0,-5.0,-2.0,,-6.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,5.0,-3.0,-4.0,-3.0,-3.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,6.0,-2.0,-5.0,-3.0,-2.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,7.0,-3.0,-6.0,-2.0,-1.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,8.0,-1.0,,-4.0,-5.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,9.0,-2.0,-5.0,1.0,-4.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,10.0,-6.0,-5.0,-2.0,3.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,11.0,2.0,-3.0,-3.0,-5.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,12.0,-2.0,-2.0,,-5.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,13.0,1.0,,-4.0,-5.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,14.0,-2.0,-1.0,,-5.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,15.0,-2.0,-3.0,1.0,-4.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,16.0,-1.0,-4.0,-2.0,-1.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,17.0,-1.0,-4.0,,-2.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,18.0,-6.0,-3.0,-1.0,3.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,19.0,-4.0,,-1.0,-1.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,20.0,-1.0,-3.0,-2.0,,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,21.0,-1.0,-5.0,-1.0,1.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,22.0,-2.0,-5.0,,1.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,23.0,-3.0,-4.0,-3.0,4.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,24.0,,-1.0,-1.0,-3.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,25.0,,-6.0,,1.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,26.0,1.0,,-2.0,-3.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,27.0,-3.0,-1.0,-3.0,3.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,28.0,-1.0,,-5.0,3.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,29.0,2.0,-1.0,3.0,-6.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,30.0,-1.0,4.0,,-5.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,31.0,2.0,,1.0,-5.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,32.0,2.0,-1.0,1.0,-4.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,33.0,1.0,-2.0,2.0,-3.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,34.0,,-2.0,3.0,-3.0,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,35.0,-7.0,,5.0,,,,2018,World Golf Championships-Mexico Championship,,
World Golf Championships-Mexico Championship,,,36.0,3.0,1.0,-1.0,-4.0,,,2018,World Golf Championships-Mexico Championship,,
