tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
World Wide Technology Championship,,,1.0,-4.0,-8.0,-6.0,-9.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,2.0,-7.0,-7.0,-5.0,-6.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,3.0,-8.0,-8.0,-3.0,-6.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,4.0,-6.0,-7.0,-4.0,-7.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,5.0,-4.0,-3.0,-5.0,-10.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,6.0,-1.0,-6.0,-7.0,-8.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,7.0,-6.0,-6.0,,-9.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,8.0,-1.0,-7.0,-9.0,-4.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,9.0,-3.0,-8.0,-4.0,-5.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,10.0,,-5.0,-4.0,-10.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,11.0,-3.0,-6.0,-2.0,-8.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,12.0,-4.0,-7.0,,-8.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,13.0,-8.0,-2.0,-3.0,-6.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,14.0,-3.0,-3.0,-8.0,-5.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,15.0,-3.0,-2.0,-6.0,-7.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,16.0,-6.0,,-5.0,-7.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,17.0,,-6.0,-5.0,-7.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,18.0,-6.0,-4.0,-3.0,-5.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,19.0,-4.0,-7.0,-2.0,-5.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,20.0,-3.0,-3.0,-9.0,-3.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,21.0,-7.0,-5.0,-3.0,-3.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,22.0,-3.0,-9.0,-5.0,-1.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,23.0,-3.0,-5.0,-1.0,-8.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,24.0,-2.0,-5.0,-3.0,-7.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,25.0,-7.0,-4.0,1.0,-7.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,26.0,-4.0,-2.0,-5.0,-6.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,27.0,-3.0,-3.0,-7.0,-4.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,28.0,-3.0,-6.0,-5.0,-3.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,29.0,-6.0,-4.0,-5.0,-2.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,30.0,-8.0,-3.0,-4.0,-2.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,31.0,-3.0,-3.0,-3.0,-7.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,32.0,-5.0,,-5.0,-6.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,33.0,-4.0,-4.0,-2.0,-6.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,34.0,-8.0,2.0,-6.0,-4.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,35.0,-3.0,-6.0,-3.0,-4.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,36.0,-3.0,-5.0,-6.0,-2.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,37.0,-7.0,-4.0,-3.0,-2.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,38.0,-5.0,,-2.0,-8.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,39.0,-2.0,-4.0,-1.0,-8.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,40.0,-3.0,-3.0,-4.0,-5.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,41.0,-4.0,-3.0,-3.0,-5.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,42.0,-7.0,-4.0,1.0,-5.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,43.0,-1.0,-4.0,-6.0,-4.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,44.0,-4.0,-5.0,-2.0,-4.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,45.0,-3.0,-2.0,-2.0,-7.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,46.0,-2.0,-4.0,-2.0,-6.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,47.0,-1.0,-5.0,-3.0,-5.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,48.0,-2.0,-3.0,-5.0,-4.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,49.0,-6.0,,-4.0,-4.0,,,2023,World Wide Technology Championship,,
World Wide Technology Championship,,,50.0,-3.0,-5.0,-2.0,-4.0,,,2023,World Wide Technology Championship,,
