tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
World Wide Technology Championship at Mayakoba,,,1.0,-4.0,-6.0,-9.0,-4.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,2.0,-4.0,-6.0,-4.0,-5.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,3.0,-3.0,-6.0,-7.0,-2.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,4.0,-4.0,-7.0,-1.0,-5.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,5.0,-10.0,-3.0,3.0,-6.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,6.0,-2.0,-5.0,-4.0,-5.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,7.0,-3.0,-2.0,-3.0,-7.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,8.0,-3.0,-3.0,-3.0,-6.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,9.0,-5.0,-3.0,-4.0,-3.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,10.0,-7.0,-2.0,-4.0,-2.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,11.0,-3.0,-2.0,-2.0,-7.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,12.0,-4.0,-2.0,-5.0,-3.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,13.0,-3.0,-4.0,-4.0,-3.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,14.0,-7.0,-2.0,-8.0,3.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,15.0,-3.0,-1.0,-5.0,-4.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,16.0,-4.0,,-5.0,-4.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,17.0,-2.0,-3.0,-4.0,-4.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,18.0,-4.0,-3.0,-4.0,-2.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,19.0,-5.0,-2.0,-4.0,-2.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,20.0,-3.0,-6.0,-2.0,-2.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,21.0,-8.0,-1.0,-3.0,-1.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,22.0,-5.0,1.0,,-8.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,23.0,-4.0,-3.0,,-5.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,24.0,-3.0,-5.0,,-4.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,25.0,-5.0,-1.0,-3.0,-3.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,26.0,-3.0,-5.0,-2.0,-2.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,27.0,-2.0,-7.0,1.0,-3.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,28.0,-2.0,-2.0,-5.0,-2.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,29.0,-3.0,-3.0,-3.0,-2.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,30.0,-2.0,-6.0,-2.0,-1.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,31.0,-4.0,-4.0,-3.0,,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,32.0,-6.0,-3.0,-4.0,2.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,33.0,-2.0,-2.0,1.0,-7.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,34.0,-5.0,1.0,-1.0,-5.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,35.0,-3.0,-1.0,-3.0,-3.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,36.0,-5.0,,-2.0,-3.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,37.0,-2.0,-5.0,-2.0,-1.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,38.0,-4.0,-2.0,-4.0,,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,39.0,-7.0,-2.0,-1.0,,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,40.0,-5.0,1.0,-2.0,-3.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,41.0,-2.0,-3.0,-1.0,-3.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,42.0,-4.0,-1.0,-3.0,-1.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,43.0,-1.0,-5.0,-4.0,1.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,44.0,-4.0,-5.0,-1.0,1.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,45.0,1.0,-6.0,3.0,-6.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,46.0,-1.0,-5.0,1.0,-3.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,47.0,-2.0,-2.0,-2.0,-2.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,48.0,-4.0,-2.0,-1.0,-1.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,49.0,-6.0,-3.0,2.0,-1.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,50.0,-6.0,,-2.0,,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,51.0,-1.0,-5.0,-2.0,,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,52.0,-4.0,-1.0,-4.0,1.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,53.0,-2.0,-3.0,-4.0,1.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,54.0,-2.0,-4.0,-3.0,1.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,55.0,,-6.0,-3.0,1.0,,,2022,World Wide Technology Championship at Mayakoba,,
World Wide Technology Championship at Mayakoba,,,56.0,-5.0,,2.0,-4.0,,,2022,World Wide Technology Championship at Mayakoba,,
