tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Wyndham Championship,,,1.0,-3.0,-6.0,-2.0,-9.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,2.0,-9.0,1.0,-4.0,-3.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,3.0,-7.0,-1.0,-5.0,-2.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,4.0,-1.0,-1.0,-6.0,-6.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,5.0,-2.0,-3.0,-3.0,-5.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,6.0,-3.0,-5.0,-1.0,-4.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,7.0,-1.0,-3.0,-6.0,-3.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,8.0,-2.0,-3.0,,-6.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,9.0,-1.0,-4.0,,-6.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,10.0,-5.0,,-2.0,-4.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,11.0,-4.0,-3.0,-2.0,-2.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,12.0,-6.0,-3.0,-2.0,,,,2022,Wyndham Championship,,
Wyndham Championship,,,13.0,-1.0,,-1.0,-8.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,14.0,-5.0,,1.0,-6.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,15.0,-3.0,1.0,-3.0,-5.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,16.0,1.0,-3.0,-5.0,-3.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,17.0,,-5.0,-3.0,-2.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,18.0,-5.0,,-3.0,-2.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,19.0,-3.0,-4.0,-2.0,-1.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,20.0,2.0,-5.0,-7.0,,,,2022,Wyndham Championship,,
Wyndham Championship,,,21.0,-2.0,1.0,-2.0,-6.0,,,2022,Wyndham Championship,,
Wyndham Championship,,,22.0,,-1.0,-4.0,-4.0,,,2022,Wyndham Championship,,
