tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Zurich Classic of New Orleans,,,1.0,-8.0,-4.0,-3.0,-1.0,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,2.0,-5.0,-6.0,-4.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,3.0,-4.0,-4.0,-7.0,1.0,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,4.0,-5.0,-1.0,-8.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,5.0,-1.0,-5.0,-7.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,6.0,-3.0,-4.0,-6.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,7.0,-8.0,-3.0,-2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,8.0,-1.0,-5.0,-5.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,9.0,-5.0,-2.0,-4.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,10.0,-3.0,-5.0,-3.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,11.0,,-4.0,-6.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,12.0,-5.0,1.0,-6.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,13.0,-3.0,-2.0,-5.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,14.0,-5.0,-3.0,-2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,15.0,-3.0,-1.0,-5.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,16.0,-2.0,-3.0,-4.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,17.0,-4.0,-2.0,-3.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,18.0,-4.0,-3.0,-2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,19.0,,-8.0,-1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,20.0,-1.0,-1.0,-6.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,21.0,-3.0,1.0,-6.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,22.0,-4.0,1.0,-5.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,23.0,-1.0,-3.0,-4.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,24.0,-3.0,-1.0,-4.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,25.0,,-6.0,-2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,26.0,,-6.0,-2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,27.0,-2.0,-4.0,-2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,28.0,-2.0,-5.0,-1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,29.0,-4.0,-3.0,-1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,30.0,-1.0,-7.0,,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,31.0,1.0,-3.0,-5.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,32.0,-2.0,-2.0,-3.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,33.0,-6.0,1.0,-2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,34.0,-3.0,-3.0,-1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,35.0,-5.0,-3.0,1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,36.0,1.0,-3.0,-4.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,37.0,-2.0,,-4.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,38.0,-3.0,1.0,-4.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,39.0,,-3.0,-3.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,40.0,,-4.0,-2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,41.0,-2.0,-2.0,-2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,42.0,-1.0,-4.0,-1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,43.0,-3.0,-2.0,-1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,44.0,-4.0,-1.0,-1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,45.0,-4.0,-1.0,-1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,46.0,-3.0,-4.0,1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,47.0,-5.0,-2.0,1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,48.0,1.0,-3.0,-3.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,49.0,,-2.0,-3.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,50.0,-2.0,,-3.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,51.0,-2.0,,-3.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,52.0,,-3.0,-2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,53.0,,-3.0,-2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,54.0,-3.0,,-2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,55.0,2.0,-6.0,-1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,56.0,-3.0,-2.0,,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,57.0,-4.0,-2.0,1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,58.0,,-2.0,-2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,59.0,-2.0,,-2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,60.0,-2.0,-1.0,-1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,61.0,-2.0,-2.0,,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,62.0,-2.0,-2.0,,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,63.0,-4.0,,,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,64.0,-2.0,,-1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,65.0,-2.0,,-1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,66.0,-3.0,1.0,-1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,67.0,-5.0,3.0,-1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,68.0,,-3.0,,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,69.0,-2.0,-1.0,,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,70.0,-5.0,1.0,1.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,71.0,-5.0,,2.0,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,72.0,2.0,-4.0,,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,73.0,1.0,-3.0,,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,74.0,-1.0,-1.0,,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,75.0,-1.0,-1.0,,,,,2016,Zurich Classic of New Orleans,,
Zurich Classic of New Orleans,,,76.0,-3.0,,1.0,,,,2016,Zurich Classic of New Orleans,,
