tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
the Memorial Tournament pres. by Nationwide,,,1.0,-3.0,-5.0,-4.0,3.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,2.0,-5.0,-4.0,1.0,2.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,3.0,3.0,-6.0,2.0,-4.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,4.0,,-2.0,-2.0,,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,5.0,1.0,-6.0,,1.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,6.0,2.0,-6.0,1.0,,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,7.0,2.0,-6.0,-1.0,2.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,8.0,-6.0,-3.0,1.0,6.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,9.0,2.0,-3.0,-1.0,1.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,10.0,-1.0,4.0,-2.0,-1.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,11.0,-2.0,-4.0,7.0,-1.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,12.0,,1.0,-2.0,1.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,13.0,6.0,-3.0,,-2.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,14.0,4.0,-1.0,-2.0,,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,15.0,-2.0,1.0,2.0,,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,16.0,-4.0,3.0,-1.0,3.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,17.0,-2.0,-2.0,2.0,3.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,18.0,1.0,-5.0,5.0,1.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,19.0,1.0,1.0,-2.0,2.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,20.0,2.0,-5.0,3.0,2.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,21.0,-2.0,,-1.0,5.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,22.0,1.0,2.0,,,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,23.0,,-3.0,6.0,,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,24.0,4.0,-3.0,1.0,1.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,25.0,2.0,-1.0,1.0,1.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,26.0,3.0,,-4.0,4.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,27.0,5.0,-4.0,-2.0,4.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,28.0,1.0,-4.0,2.0,4.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,29.0,-1.0,1.0,-2.0,5.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,30.0,-4.0,-2.0,4.0,5.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,31.0,-1.0,-5.0,2.0,7.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,32.0,4.0,-5.0,4.0,1.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,33.0,,1.0,1.0,2.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,34.0,6.0,-4.0,-2.0,4.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,35.0,-2.0,,,6.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,36.0,-2.0,-2.0,1.0,7.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,37.0,2.0,-6.0,-2.0,10.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,38.0,,,7.0,-2.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,39.0,-3.0,,2.0,6.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,40.0,-2.0,3.0,3.0,2.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,41.0,2.0,-3.0,4.0,3.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,42.0,,3.0,-1.0,4.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,43.0,-1.0,4.0,-1.0,4.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,44.0,,2.0,3.0,2.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,45.0,,1.0,4.0,2.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,46.0,3.0,-1.0,1.0,4.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,47.0,,1.0,1.0,5.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,48.0,4.0,-2.0,1.0,5.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,49.0,-3.0,5.0,1.0,5.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,50.0,,-4.0,7.0,5.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,51.0,3.0,-2.0,,7.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,52.0,2.0,-6.0,5.0,7.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,53.0,2.0,,-2.0,8.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,54.0,3.0,-1.0,6.0,1.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,55.0,,2.0,1.0,6.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,56.0,,1.0,1.0,7.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,57.0,4.0,-2.0,-2.0,9.0,,,2020,Barbasol Championship,,
the Memorial Tournament pres. by Nationwide,,,58.0,3.0,-1.0,4.0,4.0,,,2020,Barbasol Championship,,
