tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
the Memorial Tournament pres. by Workday,,,1.0,-2.0,-4.0,-7.0,,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,2.0,-2.0,-3.0,-3.0,-1.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,3.0,,-3.0,-3.0,-1.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,4.0,-1.0,-3.0,-2.0,-1.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,5.0,-3.0,2.0,-2.0,-3.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,6.0,-4.0,1.0,-1.0,-2.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,7.0,-4.0,3.0,-4.0,-1.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,8.0,-4.0,-3.0,1.0,,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,9.0,-2.0,,-5.0,1.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,10.0,,-2.0,1.0,-3.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,11.0,-2.0,-2.0,3.0,-3.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,12.0,-3.0,4.0,-4.0,-1.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,13.0,-3.0,1.0,2.0,-3.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,14.0,1.0,,-2.0,-2.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,15.0,,-1.0,-1.0,-1.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,16.0,-5.0,-1.0,,3.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,17.0,-5.0,-3.0,,5.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,18.0,3.0,-1.0,-2.0,-2.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,19.0,-2.0,1.0,1.0,-2.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,20.0,-2.0,-3.0,4.0,-1.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,21.0,4.0,-4.0,-2.0,,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,22.0,1.0,-2.0,-1.0,,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,23.0,-2.0,2.0,-3.0,1.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,24.0,-1.0,,-2.0,1.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,25.0,-2.0,-3.0,1.0,2.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,26.0,,,1.0,-2.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,27.0,2.0,,-3.0,,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,28.0,2.0,,-3.0,,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,29.0,-5.0,-1.0,,5.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,30.0,-1.0,-4.0,-2.0,6.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,31.0,-1.0,2.0,-4.0,3.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,32.0,-1.0,1.0,-2.0,3.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,33.0,-3.0,1.0,-1.0,4.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,34.0,,-2.0,-1.0,4.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,35.0,-3.0,,,4.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,36.0,-3.0,,-1.0,5.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,37.0,6.0,-4.0,2.0,-2.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,38.0,-4.0,4.0,1.0,1.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,39.0,,1.0,-1.0,2.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,40.0,-5.0,1.0,4.0,2.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,41.0,-1.0,-2.0,1.0,4.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,42.0,-3.0,3.0,-3.0,5.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,43.0,-3.0,,-2.0,7.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,44.0,-3.0,-3.0,-1.0,9.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,45.0,,-1.0,4.0,,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,46.0,-2.0,3.0,,2.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,47.0,-1.0,-2.0,2.0,4.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,48.0,2.0,,1.0,1.0,,,2022,the Memorial Tournament pres. by Workday,,
the Memorial Tournament pres. by Workday,,,49.0,-2.0,4.0,-2.0,4.0,,,2022,the Memorial Tournament pres. by Workday,,
